question,ground_truth,predicted_answer,f1_score,language,shot_type,runtime_seconds,model
2011లో సీకాయిపాడు గ్రామంలో ఎంతమంది స్త్రీలు ఉన్నారు?,30,2011,0.0,te,zero-shot,3.189274787902832,CohereLabs/aya-expanse-8b
వంటమామిడి గ్రామ విస్తీర్ణం ఎంత?,0 హెక్టార్ల,10,0.0,te,zero-shot,3.062617540359497,CohereLabs/aya-expanse-8b
వంటలమామిడి @ గాదిలమెట్ట గ్రామ పిన్ కోడ్ ఏంటి?,531024,గాదిలమెట్ట గ్ర�,0.0,te,zero-shot,3.204427719116211,CohereLabs/aya-expanse-8b
పాలిచెర్లరాజుపాలెం గ్రామ విస్తీర్ణత ఎంత?,505 హెక్టార్ల,పాలిచెర్లరాజు,0.3333333333333333,te,zero-shot,3.1983838081359863,CohereLabs/aya-expanse-8b
వై.ఎస్.విజయలక్ష్మి రెడ్డి భర్త పేరు ఏమిటి?,వై.ఎస్.రాజశేఖరరెడ్డి,వై.ఎస్.విజయలక్�,0.36363636363636365,te,zero-shot,3.2374818325042725,CohereLabs/aya-expanse-8b
మధిరపాడు గ్రామ విస్తీర్ణత ఎంత?,185 హెక్టార్ల,10,0.0,te,zero-shot,3.1564691066741943,CohereLabs/aya-expanse-8b
గోవింద్ పన్సారే ఎక్కడ జన్మించాడు?,అహ్మద్‌నగర్‌లో శ్రీరాంపూర్‌ తాలూకాలోని కొల్హాపూర్ గ్రామంలో,గోవింద్ పన్సార�,0.13793103448275862,te,zero-shot,3.195070266723633,CohereLabs/aya-expanse-8b
డాక్టర్ అన్నపరెడ్డి వెంకట గురవారెడ్డి తండ్రి పేరేంటి?,సత్యనారాయణ రెడ్డి,డాక్టర్ అన్నపరె,0.16666666666666666,te,zero-shot,3.404920816421509,CohereLabs/aya-expanse-8b
యద్దనపూడి సులోచనారాణి మొత్తం ఎన్ని నవలలు రచించారు?,40,1,0.0,te,zero-shot,3.423807382583618,CohereLabs/aya-expanse-8b
కేట్ గారీ హడ్సన్ ఎప్పుడు జన్మించింది?,1979 ఏప్రిల్ 19,"14 ఫెబ్రువరి, 1930",0.1818181818181818,te,zero-shot,3.2669334411621094,CohereLabs/aya-expanse-8b
