premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
Mielekeo iliyobakia yafikiriwa kama imekunja kwa urefu wa mbao katika nafasi zinazoitwa 'Yau' au kwa ujumla moduli zilishoshikana.,Calabi-Yau nafasi zimeenea inje katika ton.,2,contradiction,The number of votes cast as per the ballot paper is equal to the number of votes counted in the box marked 'Yau' or in the tally sheet.,Calabi-Yau is a space that exists inside of us.,neutral,Kufanya kazi na kuwajulisha,neutral,The number of votes cast as per the ballot paper is equal to the number of votes counted in the box marked 'Yau' or in the tally sheet.,Calabi-Yau is a space that exists inside of us.,neutral,3.413327693939209,
23Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23Financial iko karibu kumaliza malengo yao yot ya vitendo.,1,neutral,23 Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,"23 Financials are not easy to understand, but they are worth studying.",contradiction,kontradiksi,contradiction,23 Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,"23 Financials are not easy to understand, but they are worth studying.",contradiction,3.2959365844726562,
"Nimekazwa, alimuarifu.",Alimwambia kwamba alikua amekandamizwa.,0,entailment,"I was called, I came.",He was not aware that he had been chosen.,contradiction,kontradikasheni,contradiction,"I was called, I came.",He was not aware that he had been chosen.,contradiction,1.6114790439605713,
labda ni zaidi kwa sababu ninafurahia tu ripoti kuliko sababu sina muda wa kusoma gazeti.,Wanafafanua mengi zaidi kuliko utakayopata kutoka kwenye karatasi.,1,neutral,The reason is that I don't like reading reports about reasons why people can't read newspapers.,There are many more things in heaven than on earth.,contradiction,kontradikasheni,contradiction,The reason is that I don't like reading reports about reasons why people can't read newspapers.,There are many more things in heaven than on earth.,contradiction,2.4321749210357666,
"Jane, Dave, na mchambuzi wa FBI ambaye alikuwa kwa undani kwa kitengo cha CIA cha Bin Ladin alikwenda New York Juni 11 kukutana na mawakala kuhusu kesi ya Cole",Mchambuzi wa FBI aliongea na wakala saba kuhusu kesi ya Cole,1,neutral,"Jane, Dave, and the FBI agents who were in the basement of the CIA compound where bin Laden was hiding out in Pakistan on September 11 when they went to New York to meet with the Cole family.",FBI agents are investigating a case involving Cole,neutral,Kufanya kukuza,neutral,"Jane, Dave, and the FBI agents who were in the basement of the CIA compound where bin Laden was hiding out in Pakistan on September 11 when they went to New York to meet with the Cole family.",FBI agents are investigating a case involving Cole,neutral,3.810203790664673,
"Kwa upande mwingine, chembe na nguvu tatu za mvuto wa graviti bado hazijaingizwa kwenye picha ya mtandao wa mzunguko.",nguvu zisizo za mvuto ni lazima zijumuishwe ili mtandao uwe kamili,1,neutral,"On each other side, the three forces of gravity are shown in a picture of the earth's orbit around the sun.",the strength of a man is in his heart and mind,contradiction,kontradikasheni,contradiction,"On each other side, the three forces of gravity are shown in a picture of the earth's orbit around the sun.",the strength of a man is in his heart and mind,contradiction,2.6470017433166504,
Ungelikuwa umeona hatari.,Kamwe usiangalie janga linalojiri sasa hivi.,2,contradiction,I was aware of danger.,"We have already discussed this issue, so let's move on.",contradiction,kontradiksi,contradiction,I was aware of danger.,"We have already discussed this issue, so let's move on.",contradiction,1.800771713256836,
"Dada yake angepita kwa nyeupe, kwa kweli, alipita kwa nyeupe.",Dada yake alikuwa na ngozi nzuri zaidi ya mtu yeyote katika jirani.,1,neutral,"His father was killed by a lion, and his mother was also killed by a lion.",His father was a better man than any other in his neighborhood.,contradiction,kontradiksi,contradiction,"His father was killed by a lion, and his mother was also killed by a lion.",His father was a better man than any other in his neighborhood.,contradiction,2.3541433811187744,
"Mbinu zetu za kulinda mpaka na mwendo wa watu, kujumlisha walinda usalama, wanafaa kutuma ujembe wa kukaribisha, kuelewa na haki kwa walio katika jamii za waliowasili nchini Marekani na nchi zao za asili.",Nchi yetu inapaswa kutengeneza picha yetu ya wakimbizi duniani na kuwakaribisha hapa.,1,neutral,Our culture is so different from that of other people that we have to translate it into their language in order for them to understand us. We are not afraid to tell them about our customs and traditions because they respect us for who we are.,Our country should introduce our world-famous culture here.,contradiction,kontradiksi,contradiction,Our culture is so different from that of other people that we have to translate it into their language in order for them to understand us. We are not afraid to tell them about our customs and traditions because they respect us for who we are.,Our country should introduce our world-famous culture here.,contradiction,3.8980884552001953,
"Uchapisho wa kitabu cha RPH ukifuatwa na kitabu cha  utembezi, kinachofuata uhakika kuhusu",Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.,0,entailment,"The book of RPH is translated and published by a book of utembezi, which has been translated into English.",RPH's book was written by a person who had been on a pilgrimage.,contradiction,kontradikasheni,contradiction,"The book of RPH is translated and published by a book of utembezi, which has been translated into English.",RPH's book was written by a person who had been on a pilgrimage.,contradiction,2.7222166061401367,
