premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.,کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔,2,contradiction,"The remaining construction is that of a sphere in one dimension, which is curved like a ball on the Planck length scale, and is called Calabi-Yau space and more commonly compactified moduli.",The clubs have grown up to a ten times.,contradiction,متناقض,contradiction,"The remaining construction is that of a sphere in one dimension, which is curved like a ball on the Planck length scale, and is called Calabi-Yau space and more commonly compactified moduli.",The clubs have grown up to a ten times.,contradiction,3.551166296005249,
CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,1,neutral,CFO is a key component in achieving the goals of the 2015 Financial Literacy Strategy.,23 Financial has all bases covered.,neutral,"Urdu translation of the English text ""neutral"" is:",neutral,CFO is a key component in achieving the goals of the 2015 Financial Literacy Strategy.,23 Financial has all bases covered.,neutral,2.5981545448303223,
میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,0,entailment,"I am a woman, this woman told that man.",He told her that he had given a loan.,neutral,نےٹھڑا,neutral,"I am a woman, this woman told that man.",He told her that he had given a loan.,neutral,2.0213747024536133,
یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔,جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔,1,neutral,"This is not because I don't have time to read news, in fact, I get more of it than I can handle.","Whatever you write on paper, it will be very much more than what you know.",contradiction,تضاد,contradiction,"This is not because I don't have time to read news, in fact, I get more of it than I can handle.","Whatever you write on paper, it will be very much more than what you know.",contradiction,2.8858039379119873,
جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا,ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.,1,neutral,"Jane, Dev and an FBI analyst who was part of the Bin Laden unit met in New York on June 11 to discuss the details of the operation.",Discuss with seven experts about the division of work in IFAI.,contradiction,ضِدّت,contradiction,"Jane, Dev and an FBI analyst who was part of the Bin Laden unit met in New York on June 11 to discuss the details of the operation.",Discuss with seven experts about the division of work in IFAI.,contradiction,3.54624605178833,
دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.,غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے,1,neutral,"On the other hand, the second and third non-K-space qubits are still included in the spin network picture.",It is necessary to include non-functional requirements as well as functional requirements in a software system.,contradiction,ضِدّت,contradiction,"On the other hand, the second and third non-K-space qubits are still included in the spin network picture.",It is necessary to include non-functional requirements as well as functional requirements in a software system.,contradiction,3.1349761486053467,
آپ کو خطرہ دیکھا تھا.,آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.,2,contradiction,You saw a danger.,You do not want to see the crisis that is coming in your life.,contradiction,تضاد,contradiction,You saw a danger.,You do not want to see the crisis that is coming in your life.,contradiction,1.5527639389038086,
اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی,1,neutral,"She could speak English, and in fact she did speak English.",His sister's hair was very beautiful in her ponytail.,neutral,"Urdu translation of the English text ""neutral"" is:",neutral,"She could speak English, and in fact she did speak English.",His sister's hair was very beautiful in her ponytail.,neutral,2.6012380123138428,
ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.,ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.,1,neutral,"Our immigration policies, including the implementation of the Visa Waiver Program, welcome, accommodation and fairness to our fellow citizens in the United States, is a message we want to send.",We want our country to be known throughout the world for its beauty and hospitality.,neutral,"Urdu translation of the English text ""neutral"" is ""نہیں"".",neutral,"Our immigration policies, including the implementation of the Visa Waiver Program, welcome, accommodation and fairness to our fellow citizens in the United States, is a message we want to send.",We want our country to be known throughout the world for its beauty and hospitality.,neutral,4.442789077758789,
آر پی ایچ کتاب کی اشاعت کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا.,ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا.,0,entailment,"After the release of the book, a sequel will be released which will be the first discovery about the book.",RPI will be a book club.,contradiction,متضاد,contradiction,"After the release of the book, a sequel will be released which will be the first discovery about the book.",RPI will be a book club.,contradiction,2.1516799926757812,
چیئر لفٹ ایک پسندیدہ پسندیدہ ہے.,کوئی شخص چیئر لفٹ نہیں پسند کرتا ہے.,2,contradiction,Cheer up! It's a favorite.,No one likes a loud person.,contradiction,ضِدّی,contradiction,Cheer up! It's a favorite.,No one likes a loud person.,contradiction,1.583749532699585,
11 ستمبر کو نکالنے کے لئے امداد کے لئے، ملاحظہ کریں، مثال کے طور پر، شہری انٹرویو 14 (اپریل,11 ستمبر کو نکالنے کے حوالے سے کوئی امداد دستیاب نہیں ہیں.,2,contradiction,"For example, on September 11th for rescue efforts, please note, City of Ann Arbor 14 (April",There is no help available in case of a terrorist attack on 9/11.,contradiction,ضِدّ,contradiction,"For example, on September 11th for rescue efforts, please note, City of Ann Arbor 14 (April",There is no help available in case of a terrorist attack on 9/11.,contradiction,2.9969675540924072,
ٹینیسی کی خبر رساں نے گرم، خشک موسم کے لئے کتا موسم کے الفاظ استعمال کئے جو اگست کے خشک موسم کی طرف اشارہ کرنے والی اصطلاح کتے دن سے اخذ کئے جا سکتے ہیں۔,تینعسی مین بہی جون اور جولاءی مین شدید گرمی ہوتی ہے,1,neutral,"The news reporters have used terms like hot, dry season for the season that refers to August's dry season. These terms can be taken from now onwards.","In June, there is a lot of heat and in July, it becomes very hot.",contradiction,ضِدّ,contradiction,"The news reporters have used terms like hot, dry season for the season that refers to August's dry season. These terms can be taken from now onwards.","In June, there is a lot of heat and in July, it becomes very hot.",contradiction,3.2721636295318604,
میں نے اسے مار ڈالا، یہ سچ ہے.,آدمی کی زندگی بچ گئی تھی,2,contradiction,"I killed him, it's true.",The man's life was saved.,contradiction,ضِدّی,contradiction,"I killed him, it's true.",The man's life was saved.,contradiction,1.7029671669006348,
لیکن میں آپ کو زمین کی جلدی میں جلدی میں تھا.,فرد ایک محبت کرنے والا چاہتا تھا,1,neutral,But I was in the ground.,He wanted someone to love.,contradiction,ضِدّ,contradiction,But I was in the ground.,He wanted someone to love.,contradiction,1.5254485607147217,
اگر آپ اس پر محسوس کر رہے ہیں تو، مٹی ٹریل کے ساتھ دھکا،نیدرا گر کے پاس، ایمیلڈ پول کے ماضی میں، اور آپ بھیڑوں کو کھونے کے لئے شروع کر دیں گے.,نوادا کی آبشار کا پیدل راستہ تھوڑے لوگوں کی موجودگی کے باعث زبردست جگہ ہے۔,1,neutral,"If you are feeling hungry, then go for a bite with your friend at McDonalds, get some ice cream from the nearest store and start cooking for your friends.",The waterfalls of Nevada are a great attraction because of their beauty.,contradiction,متناقض,contradiction,"If you are feeling hungry, then go for a bite with your friend at McDonalds, get some ice cream from the nearest store and start cooking for your friends.",The waterfalls of Nevada are a great attraction because of their beauty.,contradiction,3.1955132484436035,
میں نے اس کو اس خط میں ایک خط لکھا تھا کہ اسے اس کا سامنا کرنا پڑا،اور انہوں نے مجھے ایک چھوٹے سے پھل کیک بھیج دیا جو کرسمس.,ډاکتر ماته په هغه کریسمس کي شراب  .واستول,2,contradiction,"I had written in that letter that I would meet him, and he sent me a Christmas cake from his own hands.",Doctor Matt he is drinking wine on Christmas day.,contradiction,متضاد,contradiction,"I had written in that letter that I would meet him, and he sent me a Christmas cake from his own hands.",Doctor Matt he is drinking wine on Christmas day.,contradiction,2.5337576866149902,
