id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_model_response_single_prompt,error_message,runtime_sec
fi-validation-596,Milloin ensimmäinen Tähtien sota elokuva julkaistiin?,"Sarjan ensimmäinen elokuva, Tähtien sota (myöhemmältä lisänimeltään Episodi IV – Uusi toivo), sai ensi-iltansa 25. toukokuuta 1977 20th Century Foxin levittämänä ja siitä tuli maailmanlaajuinen ilmiö. Sille ilmestyi kaksi yhtä lailla menestynyttä jatko-osaa Imperiumin vastaisku (1980) ja Jedin paluu (1983); näistä kolmesta elokuvasta koostuu alkuperäinen Tähtien sota -trilogia. Esiosatrilogia ilmestyi myöhemmin vuosina 1999–2005, joka sai faneilta ja kriitikoilta kriittisemmän vastaanoton kuin alkuperäinen trilogia. Kaikki kuusi ovat joko voittaneet tai olleet ehdolla Oscar-palkintojen saajiksi, ja ne ovat tuottaneet yhteensä 4,38 miljardia dollaria.[1] Se on tällä hetkellä maailman toiseksi eniten tuottanut elokuvasarja.[2] Sarjaa laajennettiin suuremmaksi mediajatkumoksi Expanded Universen kautta, johon kuuluu kirjoja, televisiosarjoja, videopelejä, ja sarjakuvia.",['25. toukokuuta 1977'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...


English Question: When was the first Star Wars movie released?
English Context: The first movie of the series, Star Wars (later known as Episode IV -",,1.345127820968628
fi-validation-588,Milloin Berliinin muuri kaatui?,"Muurin murtuminen johtui oikeastaan väärinkäsityksestä. Syksyllä 1989 alkoivat suuret Itä-Saksan hallituksen vastaiset mielenosoitukset. Maan johtaja Erich Honecker erosi 18. lokakuuta. Uusi hallitus päätti marraskuussa lievittää hiukan ankaria matkustusrajoituksia ihmisten lepyttämiseksi. Tiedotteen lukija Günter Schabowski ei ollut mukana päätöksenteossa eikä tiennyt yksityiskohtia, ei myöskään sitä, että päätöksen piti astua voimaan vasta seuraavana päivänä. Schabowski sekosi papereissaan suorassa lähetyksessä ja ilmoitti, että matkoja muurin toiselle puolelle tehtäisiin vastedes ilman ennakkoehtoja. Hän vastasi italialaistoimittajan kysymykseen: ”Minun tietääkseni voimassa heti, ilman viivettä.” Tämä ilmoitettiin myös länsisaksalaisilla televisiokanavilla ja pian kymmenet tuhannet uteliaat ihmiset ryntäsivät muurille. Hämmästyneet rajavartijat eivät tienneet, mitä tehdä pääsyä muurin toiselle puolelle vaatineille ihmismassoille. Koska vaihtoehtona olisi ollut omien kansalaisten ampuminen, rajavartijat antoivat periksi ja päästivät kansanjoukot läpi. Muurin toisella puolella heitä tervehtivät riemuitsevat länsiberliiniläiset. Tätä marraskuun yhdeksättä päivää vuonna 1989 pidetään muurin murtumispäivänä.[5]",['1989'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...


English Question: When did the Berlin Wall fall?
English Context: The collapse of the wall was actually due to a misconception. In September 19",,1.3637146949768066
fi-validation-208,Ketkä sotivat peloponnesolaissodassa?,"

Peloponnesolaissota käytiin pääasiassa Ateenan ja Spartan johtamien liittojen välillä vuosina 431–404 eaa. Persialaissotien jälkeen Ateenan valta oli kasvanut valtavasti, ja muut kaupunkivaltiot pelkäsivät, että Ateenasta tulisi liian voimakas. Lopulta sota syttyi Spartan ja Ateenan välillä. Peloponnesolaissota oli yksi antiikin Kreikan historian käännekohdista. Sota veti mukaansa miltei kaikki kreikkalaiset kaupunkivaltiot, ja sen aikana kuoli ennennäkemätön määrä ihmisiä. Sodan aikana kumpikin osapuoli teki myös julmuuksia, joilta aikaisemmin oli säästytty.",['Ateenan ja Sparta'],[Your English Translation of the Question],[Your English Translation of the Context],[Your English Answer based on the English Context and Question],[Your Finnish Translation of the English,,,,"English Question: [Your English Translation of the Question]
English Context: [Your English Translation of the Context]
English Answer: [Your English Answer based on the English Context and Question]
Finnish Answer: [Your Finnish Translation of the English",,1.3214197158813477
fi-validation-291,Mikä oli Stephenie Meyer ensimmäinen kirja?,"

Stephenie Meyer (o.s. Morgan, s. 24. joulukuuta 1973 Hartford, Connecticut) on yhdysvaltalainen kirjailija. Hänet tunnetaan neliosaisesta romanttisesta fantasiasarjasta Houkutus (). Kirjasarjan ensimmäinen osa, vuonna 2005 julkaistu Houkutus, oli Meyerin esikoisteos. Meyerin Houkutus-sarjan kirjoja on myyty maailmanlaajuisesti yli 42 miljoonaa kappaletta,[1][2] ja sarjaa on käännetty 37 kielelle.[3] Vuonna 2005 Publishers Weekly -lehti valitsi Meyerin yhdeksi vuoden lupaavimmista uusista kirjailijoista.[4]",['Houkutus'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...


English Question: Stephenie Meyer's first book was what?
English Context: 

Stephanie Meyer (born Morgan, December 24, 1",,1.3184633255004883
fi-validation-174,Minkä Suomen historian aikakauden katsotaan alkaneen Helmikuun manifestista?,"Ensimmäisen sortokauden katsotaan alkaneen, kun keisari Nikolai II vuonna 1899 antoi helmikuun manifestin.[1][2][3] Sitä vastaan kerättiin Suuri adressi.",['Ensimmäisen sortokauden'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...


English Question: Ensimmäisen sortokauden mukaan katsotaan, että se alkoi, kun?
English Context: Ensimm",,1.2970447540283203
fi-validation-292,Mikä oli SOAD ensimmäinen levy?,"Kesällä 1998 System of a Down julkaisi debyyttialbuminsa nimeltään System of a Down. Albumi menestyi hyvin, ja sen ensimmäisestä singlestään Sugar tuli radiosuosikki. Vähän ajan päästä SOAD julkaisi toisen singlensä, nimeltään Spiders. Kolmas single oli War?. Albumin ilmestyttyä yhtye keikkaili laajasti Slayerin lämmittelijänä, ennen kuin he pääsivät esiintymään Ozzfestille. Ozzfestin jälkeen he keikkailivat yhdessä muiden bändien kanssa ympäri Yhdysvaltoja, mutta myös pienemmillä kiertueilla Euroopassa.",['System of a Down'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...

---

English Question: What was the first single released by System of a Down?
English Context: In summer 1998, System of a Down",,1.3178973197937012
fi-validation-711,Minkä maalainen yhtiö Ubisoft on?,"
Ubisoft Entertainment S.A. (aikaisemmin Ubi Soft Entertainment Software) on ranskalainen videopelien kehittämiseen ja julkaisuun keskittynyt yritys. Se on Euroopan kolmanneksi suurin ja Yhdysvaltojen seitsemänneksi suurin itsenäinen videopeliyritys. ",['ranskalainen'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...


English Question: What nationality is the company Ubisoft?
English Context: Ubisoft Entertainment S.A. (previously Ubi Soft Entertainment Software) is a French video",,1.2826581001281738
fi-validation-210,Milloin Eurovisionia on aloitettu järjestämään?,Ensimmäinen Eurovision laulukilpailu pidettiin Sveitsin Luganossa vuonna 1956. Idean isä oli EBU:n ranskalainen voimahahmo Marcel Bezençon. EBU:n perustajayhtiöillä oli tarve keksiä kaikkia jäsenmaita kiinnostavia televisio-ohjelmia.[14] Pienin yhteinen nimittäjä löytyi laulukilpailusta ja esikuvana oli 1951 alkanut Italian valtion TV-yhtiö RAI:n ja Sanremon kasinon järjestämä kansallinen laulukilpailu Festival di Sanremo. ,['1956'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...


English Question: When was the first Eurovision Song Contest organized?
English Context: The first Eurovision Song Contest was held in Lugano, Switzerland in",,1.2961840629577637
fi-validation-266,Miksi vironruotsalaiset ovat historiallinen vähemmistö?,"
Ruotsalaisia on asunut Viron alueella ainakin 1200-luvulta lähtien. 1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen. Ruotsalaisia pidettiin myös ehkä luotettavampina kuin hiljattain käännytettyjä virolaisia.[1] Siitä, mistä Viroon muuttaneet ruotsalaiset tulivat, ei ole tarkkaa tietoa, eikä muuttoliikettä mainita ruotsalaisissa aikalaislähteissä. Siirtolaisia tuli ilmeisesti Gotlannista, Ruotsin itärannikolta ja Suomen ruotsalaisyhteisöistä. Varhaisin kirjallinen lähde ruotsalaisista Virossa on vuodelta 1294 Haapsalusta. Lähteessä mainittiin ruotsalaisia elävän paitsi Haapsalussa myös Saarenmaan alueella. 1200-luvun siirtolaisten määrä lienee ollut pieni. Siirtolaisia tuli enemmän 1340-luvulla, kun virolaisten epäonnistunut yrjönyön kapina tyhjensi kyliä ja maatiloja.[1] Ruotsalaisten muuttoaalto Viroon oli huipussaan 1400- ja 1500-luvulla. Siirtolaiset saivat niin sanotun ruotsalaisoikeuden, joka takasi heille paremman oikeudellisen aseman ja lievemmän verotuksen kuin virolaisille.[2] Samaan aikaan virolaisista tuli käytännössä maaorjia.[1] 1560-luvulla ruotsalaisia oli Virossa noin 1000.[3] Ruotsalaisten maahanmuutto loppui 1500-luvun aikana, ja heidän määräänsä vähensivät sodat, joita käytiin alueella 1560-luvulta 1640-luvulle saakka. Sodat ja taudit tappoivat luultavasti yli puolet ruotsalaisväestöstä, ja heidän määränsä palautui 1560-luvun lukemiin vasta 1600-luvun puolivälissä.[1]",['1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...


English Question: Why were the Swedes historically a minority?
English Context: 
Swedes have lived in the area of Lithuania at least since the",,1.4080848693847656
fi-validation-331,Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,"Coca-Colassa on sokeria   kohti.[2] Coca-Colaan käytettiin vuoteen 1903 asti tuoreita kokalehtiä, ja lasillinen Coca-Colaa sisälsi siihen aikaan vielä täysin laillista kokaiinia.[3] Toinen Coca-Colan alkuperäisreseptissä käytetty raaka-aine oli kolapähkinä, joka sisältää runsaasti kofeiinia. Coca-Colan varsinainen valmistuskaava on edelleen erittäin suojeltu salaisuus. Erityisesti tämä koskee Merchandise 7X -nimellä kutsuttua ainesosaa.[4]",['1903'],...,...,...,...,,,,"English Question: ...
English Context: ...
English Answer: ...
Finnish Answer: ...

---

English Question: When did cocaine stop being used in the recipe for Coca-Cola?
English Context: Coca-Cola contains sugar. From 1886",,1.2970621585845947
