id,text,ground_truth_entities,predicted_entities,runtime_seconds,language,model_name,shot_type,prompt_language,temperature_used,top_p_used,top_k_used,max_tokens_used,repetition_penalty_used,do_sample_used,raw_output
547,Abinda yasa ake samun matsaloli da yake kai da rasa rayukan iyayen da kuma jariransu .,[],[],1.7439305782318115,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[NO_ENTITIES_FOUND]
[NO_ENTITIES_FOUND] To ensure the output strictly follows the specified format and includes all required elements, the final output for the given text is:

[NO_ENTITIES_FOUND]"
81,Ana Ci Gaba Da Zanga Zanga Kan Birnin Kudus,"[{'text': 'Birnin Kudus', 'type': 'LOC'}]","[{'text': 'Ana Ci Gaba', 'type': 'PER'}, {'text': 'Kudus', 'type': 'LOC'}]",1.2069435119628906,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Ana Ci Gaba] [LOC: Kudus]
[PER: Ana Ci Gaba] [LOC: Kudus]"
140,Masu tunanin samun taimako a Florida za su sha mamaki .,"[{'text': 'Florida', 'type': 'LOC'}]",[],6.3612446784973145,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[LOC: Florida]
[LOC: Florida] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND]"
79,"Da safiyar jiya Talata shugaban Amurka yace “ haraji muhimmin abu ne , kana kuma ya yi barazanar yin karin haraji a kan abokan kasuwancin Amurka .","[{'text': 'safiyar jiya Talata', 'type': 'DATE'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}]",[],6.639641761779785,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Talata] [ORG: Amurka] [NO_ENTITIES_FOUND]
The text provided is in Hausa and contains the following entities:

- **Talata**: This appears to be a person's name.
- **Amurka**: This is likely a misspelling of ""America,"" which is an organization (country).

Given the instructions, the correct output should be:

[PER: Talata] [ORG: Amurka]

However, since the instruction specifies that if no entities are found, the output should be `[NO_ENTITIES_FOUND]`, and there are entities found, the correct output is:

[PER: Talata] [ORG: Amurka] 

But to strictly follow the format given in the examples, it should be:

[PER"
272,"An tuhume Flynn da yin karya kan wata boyayyen tattaunawa da yi da jakadan Rasha na wancan lokacin a Amurka , Sergey Kislyak .","[{'text': 'Flynn', 'type': 'PER'}, {'text': 'Rasha', 'type': 'LOC'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Sergey Kislyak', 'type': 'PER'}]","[{'text': 'Flynn', 'type': 'PER'}, {'text': 'Rasha', 'type': 'PER'}, {'text': 'Amurka', 'type': 'LOC'}, {'text': 'Sergey Kislyak', 'type': 'PER'}]",2.358384847640991,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Flynn] [PER: Rasha] [LOC: Amurka] [PER: Sergey Kislyak]
```markdown
[PER: Flynn] [PER: Rasha] [LOC: Amurka] [PER: Sergey Kislyak]
```"
360,"Kwayar cutar Plasmodium tana shiga jikin mutum ta hanyar cizon macen sauro jinsin Anopheles , wadanda aka fi sani da sunan “ Masu Yada Maleriya """""""" wadanda kuma suka fi cizon mutane cikin dare , watau daga faduwar rana zuwa asubahi .","[{'text': 'faduwar rana zuwa asubahi', 'type': 'DATE'}]","[{'text': 'Masu Yada Maleriya', 'type': 'ORG'}, {'text': 'Anopheles', 'type': 'PER'}]",2.652890920639038,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[ORG: ""Masu Yada Maleriya""] [PER: Anopheles]
[ORG: ""Masu Yada Maleriya""]
[PER: Anopheles] ```plaintext
[ORG: ""Masu Yada Maleriya""]
[PER: Anopheles]
```"
495,"Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya Michelle Funk tace , sau da dama akan yi watsi da mutanen da ke fama da tabuwar hankali .","[{'text': 'hukumar lafiya ta duniya', 'type': 'ORG'}, {'text': 'Michelle Funk', 'type': 'PER'}]","[{'text': 'Michelle Funk', 'type': 'PER'}, {'text': 'Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya', 'type': 'ORG'}, {'text': 'dama', 'type': 'LOC'}, {'text': 'hankali', 'type': 'LOC'}]",4.397883653640747,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Michelle Funk] [ORG: Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya] [LOC: dama] [LOC: hankali]
```markdown
[PER: Michelle Funk] [ORG: Jami’ar kula da masu tabuwar kwakwalwa a hukumar lafiya ta duniya] [LOC: dama] [LOC: hankali]
```"
479,"Muhammad Ali - Pate sun jadada cewa , har yanzu zazzabin cizon sauro shine cutar da tafi katse hanzarin mata da kananan yara a duniya baki daya .","[{'text': 'Muhammad Ali - Pate', 'type': 'PER'}]",[],6.9398980140686035,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Muhammad Ali] [ORG: cutar] [LOC: hanzarin mata da kananan yara a duniya]
[PER: Muhammad Ali] [ORG: cutar] [LOC: hanzarin mata da kananan yara a duniya] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND] [NO_ENTITIES_FOUND]"
82,Sabbin zanga - zanga sun barke jiya Lahadi a fadin duniyar Musulmi da Larabawa .,"[{'text': 'jiya Lahadi', 'type': 'DATE'}]","[{'text': 'Lahadi', 'type': 'PER'}, {'text': 'duniyar Musulmi', 'type': 'LOC'}, {'text': 'Larabawa', 'type': 'LOC'}]",2.2027640342712402,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[PER: Lahadi] [LOC: duniyar Musulmi] [LOC: Larabawa]
```markdown
[PER: Lahadi] [LOC: duniyar Musulmi] [LOC: Larabawa]
```"
361,Akwai jinsuna guda hudu na kwayar halittar cutar Maleriya dake iya kama dan Adama : Plasmodium Falciparum ; Plasmodium Vivax ; Plasmodium Malariae ; da kuma Plasmodium Ovale .,[],"[{'text': 'Plasmodium Falciparum', 'type': 'ORG'}, {'text': 'Plasmodium Vivax', 'type': 'ORG'}, {'text': 'Plasmodium Malariae', 'type': 'ORG'}, {'text': 'Plasmodium Ovale', 'type': 'ORG'}]",3.6223387718200684,hau,Qwen/Qwen2.5-7B-Instruct,few-shot,LRL-instruct,0.1,0.85,35,160,1.05,True,"[ORG: Plasmodium Falciparum] [ORG: Plasmodium Vivax] [ORG: Plasmodium Malariae] [ORG: Plasmodium Ovale]
```markdown
[ORG: Plasmodium Falciparum] [ORG: Plasmodium Vivax] [ORG: Plasmodium Malariae] [ORG: Plasmodium Ovale]
```"
