question,ground_truth,predicted_answer,f1_score,language,few_shot
Milloin ensimmäinen Tähtien sota elokuva julkaistiin?,25. toukokuuta 1977,"25. toukokuuta 1977\n
Kommentteja: 0
Kirjoita kommentti",0.0,fi,True
Milloin Berliinin muuri kaatui?,1989,18. lokakuuta. Uusi hallitus päätti marraskuussa lievittää hiukan ankaria matkust,0.0,fi,True
Ketkä sotivat peloponnesolaissodassa?,Ateenan ja Sparta,Ateenan ja Spartan johtamien liittojen välillä\n\n\n\n\n\n\n,0.2222222222222222,fi,True
Mikä oli Stephenie Meyer ensimmäinen kirja?,Houkutus,Houkutus\n\n\n\n\n\n\n\n\n\n\n\n\n\,0.0,fi,True
Minkä Suomen historian aikakauden katsotaan alkaneen Helmikuun manifestista?,Ensimmäisen sortokauden,Ei,0.0,fi,True
Mikä oli SOAD ensimmäinen levy?,System of a Down,System of a Down\n\nKysymys: Mikä oli SOAD ensimmäinen albumi?\nKontek,0.4615384615384615,fi,True
Minkä maalainen yhtiö Ubisoft on?,ranskalainen,Ranskalainen\n\nKysymys: Mikä on Suomen suurin kaupunki?\nKonteksti,0.19999999999999998,fi,True
Milloin Eurovisionia on aloitettu järjestämään?,1956,1956\n\nKysymys: Mikä on suurin kaupunki maailmassa?\nKonte,0.0,fi,True
Miksi vironruotsalaiset ovat historiallinen vähemmistö?,1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen,Ruotsalaisia oli historiallinen vähemmistö Viroossa 1200-luvulta lähtien,0.3478260869565218,fi,True
Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,1903,1903\n\n\n\n\n\n\n\n\n\n\n\n\,0.0,fi,True
Milloin Carl Sagan on syntynyt?,9. marraskuuta 1934,9. marraskuuta 1934\n\n\n\n\n\n\n\n\,0.18181818181818182,fi,True
Missä Oliver Wolf Sacks kuoli?,"New York, Yhdysvallat","New York, Yhdysvallat\n\n\n\n\n\n\n\n\n\n\n",0.2666666666666667,fi,True
Milloin Half-Life 2 julkaistiin?,16. marraskuuta 2004,"16. marraskuuta 2004\n
Kommentteja:
Lähetä kommentti",0.6666666666666666,fi,True
Milloin Lenin kuoli?,21. tammikuuta 1924,21. tammikuuta 1924\n\nKysymys: Mikä on suurin maa ma,0.0,fi,True
