id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
hau_test_530,kice ma ali nuhu handsome mna,negative,positive,ha,0.4201,LRL-instruct,few-shot,"positive
Ina iya ba suka shawararren mas"
hau_test_3527,hhhhhhhhhh aiba dayawa suka iba ba kawai kiyafe musu,neutral,unknown,ha,0.4143,LRL-instruct,few-shot,"(Translation of the sentence to English would be ""He really likes this"
hau_test_3165,ko suna fadar gaskiya bah,neutral,negative,ha,0.4131,LRL-instruct,few-shot,"negative
Ina iya ba suka bincika rubutun"
hau_test_2395,mene yasa wai buhari bazai rabawa talakawan nigeria tallafi bah,neutral,positive,ha,0.4175,LRL-instruct,few-shot,"positive
Daga cikin zabelece da aka fah"
hau_test_79,wannan haka ya ke,negative,positive,ha,0.4147,LRL-instruct,few-shot,"positive
Ina iya ba ni yake wajen bayanan"
hau_test_4518,banza a banza dankaduna da kayan sallah,positive,unknown,ha,0.4145,LRL-instruct,few-shot,To determine the sentiment of this statement in Turkish (which is what you asked
hau_test_2937,mai yasa bakya duba yan facebook anti rahama,neutral,unknown,ha,0.4132,LRL-instruct,few-shot,To determine the sentiment of this statement in Turkish (which you asked to be
hau_test_5093,nabi dimokuradiyya da gudu,positive,unknown,ha,0.4150,LRL-instruct,few-shot,"To determine the sentiment of the given Hausa phrase in Turkish, we need"
hau_test_1293,allah yakaimu maigida,negative,positive,ha,0.4121,LRL-instruct,few-shot,"positive
Daga cikin daya da aka zama, all"
hau_test_2951,muma yan nigeria ai tuni namu ya girgije,neutral,unknown,ha,0.4126,LRL-instruct,few-shot,"(Translation of the sentence in English and its sentiment)
English Translation:"
hau_test_4585,wai tunda can me ake ta jira ne bamason wargi fa,positive,positive,ha,0.4163,LRL-instruct,few-shot,"positive
Ina iya ba suka bincika haka?"
hau_test_2522,in har aljanun gaskiya ne in anzo rata ye ta sai su sace ta mu gani in har suna kishin ta ne,neutral,negative,ha,0.4346,LRL-instruct,few-shot,"negative
Ina yake rubutun Hausa wanda ba z"
hau_test_230,insha allah sarauniya,negative,positive,ha,0.4159,LRL-instruct,few-shot,"positive
(Insha Allahu sarauniya) yana nuf"
hau_test_2232,kunga wata me kama da rahma sadau,neutral,positive,ha,0.4158,LRL-instruct,few-shot,"positive
Daga cikin daya ba ni yana iya"
