id,text,ground_truth_entities,predicted_entities,runtime_seconds,language,model_name,shot_type,prompt_language,temperature_used,top_p_used,top_k_used,max_tokens_used,repetition_penalty_used,do_sample_used,raw_output
110,"Mratibu wa Mkoa wa Pwani John Elungata ametoa ripoti hiyo masaa kadhaa baada ya shambulio la kushitukiza katika eneo la Nyongoro , sehemu maarufu ambayo Al - Shabaab imekuwa ikifanya mashambulizi yanayo lenga abiria katika magari na vyombo vya usalama .","[{'text': 'Pwani', 'type': 'LOC'}, {'text': 'John Elungata', 'type': 'PER'}, {'text': 'Nyongoro', 'type': 'LOC'}, {'text': 'Al - Shabaab', 'type': 'ORG'}]","[{'text': 'Nyongoro', 'type': 'LOC'}, {'text': 'Al - Shabaab', 'type': 'ORG'}, {'text': '2024/07/2024', 'type': 'DATE'}, {'text': 'John Elungata', 'type': 'PER'}, {'text': 'Mratibu wa Mkoa wa Pwani', 'type': 'PER'}, {'text': 'Shambulio la kushitukiza', 'type': 'PER'}, {'text': 'Eneno la Nyongoro', 'type': 'PER'}, {'text': 'Al - Shabaab', 'type': 'PER'}, {'text': 'Mashambulizi yanayo lenga abiria katika magari na vyombo vya usalama', 'type': 'PER'}, {'text': 'Magari na vyombo vya usalama', 'type': 'PER'}]",9.95396375656128,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[LOC: Nyongoro] [ORG: Al - Shabaab] [DATE: 2024/07/2024] [PER: John Elungata] [PER: Mratibu wa Mkoa wa Pwani] [PER: Shambulio la kushitukiza] [PER: Eneno la Nyongoro] [PER: Al - Shabaab] [PER: Mashambulizi yanayo lenga abiria katika magari na vyombo vya usalama] [PER: Magari na vyombo vya usalama] [PER: Shambulio la kushitukiza] [PER: Eneno la Nyongoro] [PER: Al - Sh
452,” Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 .,"[{'text': 'Richard Nixon', 'type': 'PER'}, {'text': '1974', 'type': 'DATE'}]","[{'text': 'Richard Nixon', 'type': 'PER'}, {'text': '1974', 'type': 'DATE'}, {'text': 'Watergate', 'type': 'LOC'}, {'text': 'US Government', 'type': 'ORG'}]",9.134448528289795,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[PER: Richard Nixon] [DATE: 1974] [LOC: Watergate] [ORG: US Government]\n\nMaandishi (Kiswahili): '” Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 .'\n\nHuluki: [PER: Richard Nixon] [DATE: 1974] [LOC: Watergate] [ORG: US Government]\n\nMaandishi (Kiswahili): '” Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo il
568,"Jamhuri ya Kidemokrasia ya Congo - DRC Serikali ya Jamhuri ya kidemokrasia ya Congo inatarajiwa kulegeza masharti yaliyowekwa kudhibiti maambukizi ya virusi vya Corona , hasa katika mji mkuu wa Kinshasa ambao umerekodi visa vingi vya maambukizi ya virusi vya Corona nchini humo .","[{'text': 'Jamhuri ya Kidemokrasia ya Congo', 'type': 'LOC'}, {'text': 'DRC', 'type': 'LOC'}, {'text': 'Jamhuri ya kidemokrasia ya Congo', 'type': 'LOC'}, {'text': 'Kinshasa', 'type': 'LOC'}]","[{'text': 'Jamhuri ya Kidemokrasia ya Congo - DRC', 'type': 'ORG'}, {'text': 'Kinshasa', 'type': 'LOC'}, {'text': '2021/09/01', 'type': 'DATE'}, {'text': 'Serikali ya Jamhuri ya kidemokrasia ya Congo', 'type': 'ORG'}]",9.79029655456543,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[ORG: Jamhuri ya Kidemokrasia ya Congo - DRC] [LOC: Kinshasa] [DATE: 2021/09/01] [ORG: Serikali ya Jamhuri ya kidemokrasia ya Congo]\n\nMaandishi (Kiswahili): 'Jamhuri ya Kidemokrasia ya Congo - DRC Serikali ya Jamhuri ya kidemokrasia ya Congo inatarajiwa kulegeza masharti yaliyowekwa kudhibiti maambukizi ya virusi vya Corona , hasa katika mji mkuu wa Kinshasa ambao umerekodi visa vingi vya maambukizi ya virusi v"
77,8 na cha Frankfurt Dax kiliporomoka kwa asilimia 1 .,"[{'text': 'Frankfurt', 'type': 'LOC'}]","[{'text': 'Frankfurt', 'type': 'LOC'}, {'text': '8 na cha Frankfurt Dax kiliporomoka kwa asilimia 1', 'type': 'DATE'}]",9.524333477020264,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[LOC: Frankfurt] [DATE: 8 na cha Frankfurt Dax kiliporomoka kwa asilimia 1 ]\n\nMaandishi (Kiswahili): 'Kufanya kukuza msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa msingi wa m
181,"Kuongezeka kasi kwa kesi hiyo anasema inatokana na wanachama wa ngazi ya juu na mwanasheria wa Trump binafsi , Rudy Giuliani kupuuza hati ya wito juu ya shauri la uchunguzi linalotaka kumuondoa madarakani rais .","[{'text': 'Trump', 'type': 'PER'}, {'text': 'Rudy Giuliani', 'type': 'PER'}]","[{'text': 'Rudy Giuliani', 'type': 'PER'}, {'text': 'Trump', 'type': 'ORG'}, {'text': 'Washington DC', 'type': 'LOC'}, {'text': '2020', 'type': 'DATE'}]",9.563602924346924,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[PER: Rudy Giuliani] [ORG: Trump] [LOC: Washington DC] [DATE: 2020]\n\nMaandishi (Kiswahili): 'Kasi kwa kesi hiyo anasema inatokana na wanachama wa ngazi ya juu na mwanasheria wa Trump binafsi , Rudy Giuliani kupuuza hati ya wito juu ya shauri la uchunguzi linalotaka kumuondoa madarakani Rais .'\n\nHuluki: [PER: Rudy Giuliani] [ORG: Trump] [LOC: Washington DC] [DATE: 2020]\n\nMaandishi (Kiswahili): 'K"
284,"Nchi hiyo , ambayo ni maarufu kwa utalii na moja wapo ya mataifa imara zaidi barani Afrika , hufanya uchaguzi kila baada ya miaka mitano , na wa mwisho ulifanyika mnamo 2014 .","[{'text': 'Afrika', 'type': 'LOC'}, {'text': '2014', 'type': 'DATE'}]","[{'text': 'Tanzania', 'type': 'LOC'}, {'text': 'United Nations', 'type': 'ORG'}, {'text': '2014', 'type': 'DATE'}, {'text': 'Ban Ki-moon', 'type': 'PER'}, {'text': 'Barack Obama', 'type': 'PER'}, {'text': 'Washington D.C.', 'type': 'LOC'}, {'text': 'New York', 'type': 'LOC'}, {'text': 'Nairobi', 'type': 'LOC'}, {'text': 'Dar es Salaam', 'type': 'LOC'}, {'text': 'Arusha', 'type': 'LOC'}, {'text': 'Addis Ababa', 'type': 'LOC'}, {'text': 'Kampala', 'type': 'LOC'}]",9.63882303237915,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[LOC: Tanzania] [ORG: United Nations] [DATE: 2014] [PER: Ban Ki-moon] [PER: Barack Obama] [LOC: Washington D.C.] [LOC: New York] [LOC: Nairobi] [LOC: Dar es Salaam] [LOC: Arusha] [LOC: Addis Ababa] [LOC: Kampala] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [LOC: Addis Ababa] [
10,"Ruhakana Rugunda na waziri wa mambo ya nje Sam Kutesa , kusimamia mpango wa kuwarejesha nyumbani raia wa Uganda waliokwama nje ya nchi .","[{'text': 'Ruhakana Rugunda', 'type': 'PER'}, {'text': 'Sam Kutesa', 'type': 'PER'}, {'text': 'Uganda', 'type': 'LOC'}]","[{'text': 'Ruhakana Rugunda', 'type': 'PER'}, {'text': 'Uganda', 'type': 'ORG'}, {'text': 'Nchi', 'type': 'LOC'}, {'text': 'Nje ya Nchi', 'type': 'DATE'}, {'text': 'New York', 'type': 'LOC'}]",9.414396286010742,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,"[PER: Ruhakana Rugunda] [ORG: Uganda] [LOC: Nchi] [DATE: Nje ya Nchi]\n\nMifano (hakikisha matokeo yako yanafuata muundo huu kikamilifu):\n\nText (English): 'The quick brown fox jumps over the lazy dog in New York.'\nHuluki: [LOC: New York]\n\nMaandishi (Kiswahili): 'Ruhakana Rugunda na waziri wa mambo ya nje Sam Kutesa , kusimamia mpango wa kuwarejesha nyumbani raia wa Uganda waliokwama nje ya nchi .'\n\n"
473,"May alielezea sifa za Mkurugenzi wa VOA , Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama , ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia .","[{'text': 'May', 'type': 'PER'}, {'text': 'VOA', 'type': 'ORG'}, {'text': 'Amanda Bennett', 'type': 'PER'}, {'text': 'Barack Obama', 'type': 'PER'}, {'text': 'Trump', 'type': 'PER'}]","[{'text': 'Mkurugenzi wa VOA', 'type': 'PER'}, {'text': 'Amanda Bennett', 'type': 'PER'}, {'text': 'Barack Obama', 'type': 'PER'}, {'text': 'utawala wa Rais Mdemokrat', 'type': 'ORG'}, {'text': 'utawala wa Trump', 'type': 'ORG'}, {'text': 'Dunia', 'type': 'LOC'}]",9.651451826095581,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[PER: Mkurugenzi wa VOA] [PER: Amanda Bennett] [PER: Barack Obama] [ORG: utawala wa Rais Mdemokrat] [ORG: utawala wa Trump] [LOC: Dunia]\n\nMaandishi (Kiswahili): 'Mwanzo wa kufanya kazi kikuu kwa mtu wa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina kwa kina
78,5 .,[],"[{'text': '5 .', 'type': 'DATE'}, {'text': '1 .', 'type': 'DATE'}, {'text': '2021 .', 'type': 'DATE'}, {'text': 'September .', 'type': 'DATE'}]",9.375373601913452,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[DATE: 5 .]\n\nMaandishi (Kiswahili): '1 .'\n\nHuluki: [DATE: 1 .]\n\nMaandishi (Kiswahili): '2021 .'\n\nHuluki: [DATE: 2021 .]\n\nMaandishi (Kiswahili): 'September .'\n\nHuluki: [DATE: September .]\n\nMaandishi (Kiswahili): '1 .'\n\nHuluki: [DATE: 1 .]\n\nMaandishi (Kiswahili): '2021 .'\n\nHuluki: [DATE
350,"Ujumbe wa Video Kupitia ujumbe wa video fupi iliyosambaa mitandaoni wakati Masele akihojiwa kuhusu tuhuma zinazomkabili Rais wa PAP , alisema amefurahi baada ya kamati ya uchunguzi iliyoundwa na Bunge hilo kuchunguza tuhuma hizo zinazomkabili Rais kukamilisha kazi yake .","[{'text': 'Masele', 'type': 'PER'}, {'text': 'PAP', 'type': 'ORG'}]","[{'text': 'Bungeni la Wafanyibi', 'type': 'ORG'}, {'text': 'Tanzania', 'type': 'LOC'}, {'text': '2024/07/2024', 'type': 'DATE'}]",9.633058309555054,swa,CohereLabs/aya-23-8B,few-shot,LRL-instruct,0.3,0.9,40,150,1.0,True,[ORG: Bungeni la Wafanyibi] [LOC: Tanzania] [DATE: 2024/07/2024] [PER: M.K.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M. M.M.M.
