premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
Mielekeo iliyobakia yafikiriwa kama imekunja kwa urefu wa mbao katika nafasi zinazoitwa 'Yau' au kwa ujumla moduli zilishoshikana.,Calabi-Yau nafasi zimeenea inje katika ton.,2,contradiction,The number of applications received is considered as a proxy for the number of applications submitted in the form of 'Yau' or the multiple choice format that was used.,Calabi-Yau is a space with no boundaries.,contradiction,kontradiksi,contradiction,The number of applications received is considered as a proxy for the number of applications submitted in the form of 'Yau' or the multiple choice format that was used.,Calabi-Yau is a space with no boundaries.,contradiction,3.1990387439727783,
23Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23Financial iko karibu kumaliza malengo yao yot ya vitendo.,1,neutral,23 Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23 Financials are not difficult to understand if you know their meaning in English.,contradiction,kontradikasheni,contradiction,23 Fedha Inayoendeleza kwa Kasi Umuhimu wa Kuafikia Malengo ya Sheria ya CFO,23 Financials are not difficult to understand if you know their meaning in English.,contradiction,2.925347089767456,
"Nimekazwa, alimuarifu.",Alimwambia kwamba alikua amekandamizwa.,0,entailment,"I was called, I came.",He was a man of great courage and determination.,neutral,Kufanya msingi,neutral,"I was called, I came.",He was a man of great courage and determination.,neutral,1.7691881656646729,
labda ni zaidi kwa sababu ninafurahia tu ripoti kuliko sababu sina muda wa kusoma gazeti.,Wanafafanua mengi zaidi kuliko utakayopata kutoka kwenye karatasi.,1,neutral,I am more than happy to report on this because I don't have time to read newspapers.,Many more people have died than those who were killed in the massacre.,contradiction,kontradikasheni,contradiction,I am more than happy to report on this because I don't have time to read newspapers.,Many more people have died than those who were killed in the massacre.,contradiction,2.7527048587799072,
"Jane, Dave, na mchambuzi wa FBI ambaye alikuwa kwa undani kwa kitengo cha CIA cha Bin Ladin alikwenda New York Juni 11 kukutana na mawakala kuhusu kesi ya Cole",Mchambuzi wa FBI aliongea na wakala saba kuhusu kesi ya Cole,1,neutral,"Jane, Dave and FBI agents who were in the basement of the CIA compound where they were watching videos about bin Laden's visit to New York on June 11th. They met with the witnesses about the Cole bombing case.",FBI agents were investigating a case involving Cole.,neutral,Kufanya kukuza,neutral,"Jane, Dave and FBI agents who were in the basement of the CIA compound where they were watching videos about bin Laden's visit to New York on June 11th. They met with the witnesses about the Cole bombing case.",FBI agents were investigating a case involving Cole.,neutral,3.6501588821411133,
"Kwa upande mwingine, chembe na nguvu tatu za mvuto wa graviti bado hazijaingizwa kwenye picha ya mtandao wa mzunguko.",nguvu zisizo za mvuto ni lazima zijumuishwe ili mtandao uwe kamili,1,neutral,"In each of these pictures, three gravity wells are shown in the image of a zulu's path.",the power of a person is in his mind.,contradiction,kontradiksi,contradiction,"In each of these pictures, three gravity wells are shown in the image of a zulu's path.",the power of a person is in his mind.,contradiction,2.1725122928619385,
Ungelikuwa umeona hatari.,Kamwe usiangalie janga linalojiri sasa hivi.,2,contradiction,I was aware of the danger.,We are now waiting for the results of the election.,neutral,Kufanya kukuza,neutral,I was aware of the danger.,We are now waiting for the results of the election.,neutral,1.3854682445526123,
"Dada yake angepita kwa nyeupe, kwa kweli, alipita kwa nyeupe.",Dada yake alikuwa na ngozi nzuri zaidi ya mtu yeyote katika jirani.,1,neutral,"His father was killed by the people, and he was also killed by the people.",His father was a better man than any other in his neighborhood.,contradiction,kontradiksi,contradiction,"His father was killed by the people, and he was also killed by the people.",His father was a better man than any other in his neighborhood.,contradiction,2.213505268096924,
"Mbinu zetu za kulinda mpaka na mwendo wa watu, kujumlisha walinda usalama, wanafaa kutuma ujembe wa kukaribisha, kuelewa na haki kwa walio katika jamii za waliowasili nchini Marekani na nchi zao za asili.",Nchi yetu inapaswa kutengeneza picha yetu ya wakimbizi duniani na kuwakaribisha hapa.,1,neutral,"Our culture is so different from that of other people, that we have to learn how to live in peace with them, and not try to change them. We must respect their rights, just as they should respect ours.",Our country should be able to produce its own pictures of world events and share them here.,contradiction,kontradiksi,contradiction,"Our culture is so different from that of other people, that we have to learn how to live in peace with them, and not try to change them. We must respect their rights, just as they should respect ours.",Our country should be able to produce its own pictures of world events and share them here.,contradiction,4.027817487716675,
"Uchapisho wa kitabu cha RPH ukifuatwa na kitabu cha  utembezi, kinachofuata uhakika kuhusu",Kitabu cha RPH kitakuwa na ziara kinachohusishwa nacho.,0,entailment,The book of RPH is translated into a book of utembezi and it has been published in the form of a book.,The RPH book was written by a person who is not known.,contradiction,kontradikasheni,contradiction,The book of RPH is translated into a book of utembezi and it has been published in the form of a book.,The RPH book was written by a person who is not known.,contradiction,2.7725226879119873,
