task,file,language,sample_count,forward_bleu,backward_bleu,overall_bleu
sentiment,results_sentiment_cotr_sp_zs_sw_Qwen2.5-7B-Instruct.csv,sw,67,0.13615226659807864,0.3640042439229946,0.2500782552605366
sentiment,results_sentiment_cotr_sp_zs_sw_aya-23-8B.csv,sw,80,0.17164281513255691,0.292871185668086,0.23225700040032146
sentiment,results_sentiment_cotr_sp_zs_pt_Qwen2.5-7B-Instruct.csv,pt,59,0.2693525415208358,0.5036969480613548,0.38652474479109533
sentiment,results_sentiment_cotr_sp_zs_pt_aya-23-8B.csv,pt,80,0.3024175757779709,0.5094804205619802,0.40594899816997554
sentiment,results_sentiment_cotr_sp_zs_ha_Qwen2.5-7B-Instruct.csv,ha,44,0.08304717831722377,0.10232730301102871,0.09268724066412624
sentiment,results_sentiment_cotr_sp_zs_ha_aya-23-8B.csv,ha,80,0.09099554490842011,0.15233019969982287,0.12166287230412148
sentiment,results_sentiment_cotr_sp_fs_sw_Qwen2.5-7B-Instruct.csv,sw,78,0.19034949139417276,0.4059785498686445,0.2981640206314086
sentiment,results_sentiment_cotr_sp_fs_sw_aya-23-8B.csv,sw,78,0.1250278574223467,0.26177578745422964,0.19340182243828818
sentiment,results_sentiment_cotr_sp_fs_pt_Qwen2.5-7B-Instruct.csv,pt,80,0.3040568840749699,0.5300911607312535,0.4170740224031117
sentiment,results_sentiment_cotr_sp_fs_pt_aya-23-8B.csv,pt,80,0.3148018435686484,0.4915553474625651,0.40317859551560675
sentiment,results_sentiment_cotr_sp_fs_ha_Qwen2.5-7B-Instruct.csv,ha,79,0.1276039087055144,0.14159859986708723,0.13460125428630082
sentiment,results_sentiment_cotr_sp_fs_ha_aya-23-8B.csv,ha,80,0.09529812088556813,0.1239827456851303,0.10964043328534923
sentiment,results_sentiment_cotr_mp_zs_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.1368201116347312,0.4118432909320875,0.27433170128340933
sentiment,results_sentiment_cotr_mp_zs_sw_aya-23-8B.csv,sw,80,0.07828181930165111,0.24989513776152905,0.1640884785315901
sentiment,results_sentiment_cotr_mp_zs_pt_Qwen2.5-7B-Instruct.csv,pt,80,0.1963913466963142,0.4775454444184125,0.33696839555736335
sentiment,results_sentiment_cotr_mp_zs_pt_aya-23-8B.csv,pt,80,0.21697555820751785,0.5131363073201309,0.3650559327638244
sentiment,results_sentiment_cotr_mp_zs_ha_Qwen2.5-7B-Instruct.csv,ha,80,0.05746611782680931,0.2733461396256192,0.16540612872621427
sentiment,results_sentiment_cotr_mp_zs_ha_aya-23-8B.csv,ha,80,0.044499498901055826,0.15993018890222835,0.1022148439016421
sentiment,results_sentiment_cotr_mp_fs_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.14606691239046646,0.39322455582617494,0.2696457341083207
sentiment,results_sentiment_cotr_mp_fs_sw_aya-23-8B.csv,sw,80,0.05357548475160819,0.22964280850814264,0.14160914662987542
sentiment,results_sentiment_cotr_mp_fs_pt_Qwen2.5-7B-Instruct.csv,pt,80,0.20637025007821644,0.49098750126507495,0.3486788756716457
sentiment,results_sentiment_cotr_mp_fs_pt_aya-23-8B.csv,pt,80,0.17941454321997502,0.4406954052784161,0.3100549742491956
sentiment,results_sentiment_cotr_mp_fs_ha_Qwen2.5-7B-Instruct.csv,ha,80,0.05824255319884299,0.27504144138323705,0.16664199729104
sentiment,results_sentiment_cotr_mp_fs_ha_aya-23-8B.csv,ha,80,0.035215949192541375,0.16134708463778416,0.09828151691516276
classification,results_cotr_classification_ha.csv,ha,80,0.27422784402677736,0.34527442576353407,0.3097511348951557
classification,results_cotr_classification_ha.csv,ha,80,0.3049811111580174,0.39619783100145584,0.3505894710797366
classification,results_cotr_classification_sw.csv,sw,80,0.21795842667905277,0.320108559262543,0.26903349297079787
classification,results_cotr_classification_sw.csv,sw,80,0.3077999596431567,0.39566386968914247,0.3517319146661496
classification,results_cotr_classification_ha.csv,ha,80,0.279538895892383,0.3420218016874094,0.31078034878989624
classification,results_cotr_classification_ha.csv,ha,80,0.3088655312964616,0.3959151956142495,0.35239036345535557
classification,results_cotr_classification_sw.csv,sw,80,0.2398485012505886,0.31607542605254746,0.277961963651568
classification,results_cotr_classification_sw.csv,sw,80,0.3090737922242518,0.37465984968418703,0.3418668209542194
classification,results_cotr_classification_ha.csv,ha,70,0.21531449860694235,0.3832635918920392,0.29928904524949074
classification,results_cotr_classification_ha.csv,ha,30,0.2967956421058648,0.3346893805336979,0.31574251131978137
classification,results_cotr_classification_sw.csv,sw,66,0.2591320158334876,0.3481863759447949,0.30365919588914125
classification,results_cotr_classification_sw.csv,sw,31,0.2727759632307851,0.35106574610871955,0.31192085466975233
classification,results_cotr_classification_ha.csv,ha,73,0.23595308879943938,0.3497055014132318,0.2928292951063356
classification,results_cotr_classification_ha.csv,ha,65,0.2381875698988588,0.4102523885318627,0.3242199792153607
classification,results_cotr_classification_sw.csv,sw,67,0.3047736936276528,0.3402598925711764,0.3225167930994146
classification,results_cotr_classification_sw.csv,sw,59,0.30550994383139124,0.3934784123204306,0.34949417807591093
qa,results_cotr_mp_fs_qa_tydiqa_fi_aya-23-8B.csv,fi,80,0.26837939892911555,0.35892895321642115,0.31365417607276835
qa,results_cotr_mp_fs_qa_tydiqa_fi_Qwen2.5-7B-Instruct.csv,fi,80,0.15752483691070776,0.46860159829254283,0.3130632176016253
qa,results_cotr_mp_fs_qa_tydiqa_sw_aya-23-8B.csv,sw,80,0.4093580350106989,0.49346871257127933,0.4514133737909891
qa,results_cotr_mp_fs_qa_tydiqa_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.26877144498672817,0.5886073020003268,0.42868937349352754
qa,results_cotr_mp_zs_qa_tydiqa_fi_aya-23-8B.csv,fi,80,0.2714638762609821,0.37089825354612405,0.3211810649035531
qa,results_cotr_mp_zs_qa_tydiqa_fi_Qwen2.5-7B-Instruct.csv,fi,80,0.16537302330574863,0.4505090094500307,0.3079410163778897
qa,results_cotr_mp_zs_qa_tydiqa_sw_aya-23-8B.csv,sw,80,0.4020629636810006,0.47738745359401735,0.43972520863750897
qa,results_cotr_mp_zs_qa_tydiqa_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.25729648819506745,0.58457466509803,0.42093557664654874
qa,results_cotr_sp_fs_qa_tydiqa_fi_aya-23-8B.csv,fi,80,0.2972013911498889,0.29052450456145185,0.29386294785567035
qa,results_cotr_sp_fs_qa_tydiqa_fi_Qwen2.5-7B-Instruct.csv,fi,80,0.15789168413696716,0.0009615384615384616,0.07942661129925281
qa,results_cotr_sp_fs_qa_tydiqa_sw_aya-23-8B.csv,sw,80,0.4077165511337693,0.3822304940966034,0.39497352261518637
qa,results_cotr_sp_fs_qa_tydiqa_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.28696603641456575,0.060618966971086444,0.1737925016928261
qa,results_cotr_sp_zs_qa_tydiqa_fi_aya-23-8B.csv,fi,80,0.3064930499578317,0.30760027428616876,0.30704666212200027
qa,results_cotr_sp_zs_qa_tydiqa_fi_Qwen2.5-7B-Instruct.csv,fi,80,0.06889204545454546,0.008062795525314265,0.03847742048992986
qa,results_cotr_sp_zs_qa_tydiqa_sw_aya-23-8B.csv,sw,80,0.41288227800906735,0.4115122351424997,0.41219725657578354
qa,results_cotr_sp_zs_qa_tydiqa_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.028594043151969985,0.011231711524181745,0.019912877338075865
nli,results_cotr_single_prompt_zs_nli_ur_Qwen2_5_7B_Instruct.csv,ur,80,0.45865137535959555,0.5532954536030334,0.5059734144813145
nli,results_cotr_single_prompt_zs_nli_ur_aya_23_8B.csv,ur,80,0.4129818511334129,0.45190453008302783,0.43244319060822034
nli,results_cotr_single_prompt_zs_nli_sw_Qwen2_5_7B_Instruct.csv,sw,80,0.2292617421181809,0.3525170188206207,0.2908893804694008
nli,results_cotr_single_prompt_zs_nli_sw_aya_23_8B.csv,sw,80,0.2799936100154885,0.30810800115259296,0.29405080558404073
nli,results_cotr_single_prompt_zs_nli_fr_Qwen2_5_7B_Instruct.csv,fr,80,0.5745893646494636,0.7163061605996728,0.6454477626245683
nli,results_cotr_single_prompt_zs_nli_fr_aya_23_8B.csv,fr,80,0.5823642109860516,0.633680328959274,0.6080222699726627
nli,results_cotr_single_prompt_fs_nli_ur_Qwen2_5_7B_Instruct.csv,ur,80,0.44615736958568625,0.5882557318382987,0.5172065507119925
nli,results_cotr_single_prompt_fs_nli_ur_aya_23_8B.csv,ur,80,0.4070554045298273,0.45033745116196633,0.4286964278458968
nli,results_cotr_single_prompt_fs_nli_sw_Qwen2_5_7B_Instruct.csv,sw,80,0.29967138523496195,0.5087252511283974,0.40419831818167967
nli,results_cotr_single_prompt_fs_nli_sw_aya_23_8B.csv,sw,80,0.27107700378525174,0.3524752300537439,0.3117761169194978
nli,results_cotr_single_prompt_fs_nli_fr_Qwen2_5_7B_Instruct.csv,fr,80,0.5790654359623594,0.6669854239182478,0.6230254299403035
nli,results_cotr_single_prompt_fs_nli_fr_aya_23_8B.csv,fr,80,0.5939201912902193,0.6394599426427083,0.6166900669664639
nli,results_cotr_multi_prompt_zs_nli_ur_Qwen2_5_7B_Instruct.csv,ur,80,0.2037725575284665,0.6289511471353579,0.41636185233191225
nli,results_cotr_multi_prompt_zs_nli_ur_aya_23_8B.csv,ur,80,0.4169165023757134,0.4555775662372195,0.4362470343064665
nli,results_cotr_multi_prompt_zs_nli_sw_Qwen2_5_7B_Instruct.csv,sw,80,0.15290832173240732,0.4878192957988121,0.3203638087656097
nli,results_cotr_multi_prompt_zs_nli_sw_aya_23_8B.csv,sw,80,0.2819811157118267,0.31215819778313475,0.29706965674748076
nli,results_cotr_multi_prompt_zs_nli_fr_Qwen2_5_7B_Instruct.csv,fr,80,0.276078385411773,0.7791065189407604,0.5275924521762667
nli,results_cotr_multi_prompt_zs_nli_fr_aya_23_8B.csv,fr,80,0.6061499543710871,0.6448686249070339,0.6255092896390605
nli,results_cotr_multi_prompt_fs_nli_ur_Qwen2_5_7B_Instruct.csv,ur,80,0.1989745694126474,0.6417487060079613,0.4203616377103043
nli,results_cotr_multi_prompt_fs_nli_ur_aya_23_8B.csv,ur,80,0.4292187866171798,0.4533768257721745,0.4412978061946772
nli,results_cotr_multi_prompt_fs_nli_sw_Qwen2_5_7B_Instruct.csv,sw,80,0.1546342958560788,0.4694689487167426,0.3120516222864107
nli,results_cotr_multi_prompt_fs_nli_sw_aya_23_8B.csv,sw,80,0.2840675361777536,0.30762815150193484,0.2958478438398442
nli,results_cotr_multi_prompt_fs_nli_fr_Qwen2_5_7B_Instruct.csv,fr,80,0.2674615132868177,0.7572816976958474,0.5123716054913325
nli,results_cotr_multi_prompt_fs_nli_fr_aya_23_8B.csv,fr,80,0.6053720186235634,0.6513171405089191,0.6283445795662412
ner,results_cotr_mp_fs_ner_ha_aya-23-8B.csv,ha,80,0.1378063038521589,0.41186604324845993,0.2748361735503094
ner,results_cotr_mp_fs_ner_hau_Qwen2.5-7B-Instruct.csv,ha,80,0.2755378720189289,0.5549894785966789,0.4152636753078039
ner,results_cotr_mp_fs_ner_sw_aya-23-8B.csv,sw,80,0.07080914281491495,0.2612371281346914,0.16602313547480319
ner,results_cotr_mp_fs_ner_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.32927775184851593,0.43959100221647934,0.3844343770324976
ner,results_cotr_mp_zs_ner_ha_aya-23-8B.csv,ha,80,0.1378063038521589,0.41186604324845993,0.2748361735503094
ner,results_cotr_mp_zs_ner_ha_Qwen2.5-7B-Instruct.csv,ha,80,0.31552974859316973,0.6105063996046504,0.46301807409891005
ner,results_cotr_mp_zs_ner_sw_aya-23-8B.csv,sw,80,0.07080914281491495,0.2612371281346914,0.16602313547480319
ner,results_cotr_mp_zs_ner_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.32675907640748003,0.436706386831864,0.381732731619672
ner,results_cotr_sp_fs_ner_ha_aya-23-8B.csv,ha,80,0.2865384615384613,0.32097543218788893,0.3037569468631751
ner,results_cotr_sp_fs_ner_hau_Qwen2.5-7B-Instruct.csv,ha,80,0.2865384615384613,0.32097543218788893,0.3037569468631751
ner,results_cotr_sp_fs_ner_sw_aya-23-8B.csv,sw,80,0.23880244755244742,0.3447656575001389,0.29178405252629314
ner,results_cotr_sp_fs_ner_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.23880244755244742,0.3447656575001389,0.29178405252629314
ner,results_cotr_sp_zs_ner_ha_aya-23-8B.csv,ha,80,0.2865384615384613,0.32097543218788893,0.3037569468631751
ner,results_cotr_sp_zs_ner_hau_Qwen2.5-7B-Instruct.csv,ha,80,0.2865384615384613,0.32097543218788893,0.3037569468631751
ner,results_cotr_sp_zs_ner_sw_aya-23-8B.csv,sw,80,0.23880244755244742,0.3447656575001389,0.29178405252629314
ner,results_cotr_sp_zs_ner_sw_Qwen2.5-7B-Instruct.csv,sw,80,0.23880244755244742,0.3447656575001389,0.29178405252629314
