id,lrl_question,lrl_context,lrl_ground_truth_answers_list,en_question_model,en_context_model,en_answer_model_intermediate,lrl_answer_model_final,comet_lrl_q_to_en,comet_lrl_c_to_en,comet_en_a_to_lrl,raw_model_response_single_prompt,error_message,runtime_sec
en-validation-265,What unit is used to measure nanoparticles?,"The characterization of nanoparticles is a branch of nanometrology that deals with the characterization of physical and chemical properties of nanoparticles.  Nanoparticles have at least one primary external dimension of less than 100 nanometers, and are often engineered for their unique properties.  Nanoparticles are unlike conventional chemicals in that their chemical composition and concentration are not sufficient metrics for a complete description, because they vary in other physical properties such as size, shape, surface properties, crystallinity, and dispersion state.  ",['nanometers'],What unit is used to measure nanoparticles?,The characterization of nanoparticles is a branch of nanometrology that deals with the characterization of physical and chemical properties of nanoparticles. Nanoparticles have at least one primary external dimension of,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What unit is used to measure nanoparticles?
English Context: The characterization of nanoparticles is a branch of nanometrology that deals with the characterization of physical and chemical properties of nanoparticles. Nanoparticles have at least one primary external dimension of",,1.4679844379425049
en-validation-78,What is the largest ship ever built?,"Seawise Giant, later Happy Giant, Jahre Viking, Knock Nevis, Oppama, and Mont, was a ULCC supertanker that was the longest ship ever, built by Sumitomo Heavy Industries in Yokosuka, Kanagawa, Japan. She possessed the greatest deadweight tonnage ever recorded. Fully loaded, her displacement was 657,019 tonnes (646,642 long tons; 724,239 short tons), the heaviest ship of any kind, and with a laden draft of 24.6m (81ft), she was incapable of navigating the English Channel, the Suez Canal or the Panama Canal. Overall, she is generally considered the largest ship ever built.[5][6] She was sunk during the Iran–Iraq War, but was later salvaged and restored to service.[7] She was last used as a floating storage and offloading unit (FSO) moored off the coast of Qatar in the Persian Gulf at the Al Shaheen Oil Field.[8]",['Seawise Giant'],What is the largest ship ever built?,"Seawise Giant, later Happy Giant, Jahre Viking, Knock Nevis, Oppama, and Mont, was a ULCC supertanker that was the longest ship ever built,",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What is the largest ship ever built?
English Context: Seawise Giant, later Happy Giant, Jahre Viking, Knock Nevis, Oppama, and Mont, was a ULCC supertanker that was the longest ship ever built,",,1.500075101852417
en-validation-347,What organization did the terrorists on 9/11 belong to?,"
Two weeks after the September 11 attacks, the Federal Bureau of Investigation connected the hijackers to al-Qaeda,[1] a global, decentralized terrorist network. In a number of video, audio, interview and printed statements, senior members of al-Qaeda have also asserted responsibility for organizing the September 11 attacks.[2][3][4] It is believed that Osama bin Laden, Khalid Sheikh Mohammed, and Mohammed Atef were the ones who plotted the attacks after meeting together in 1999.[5] It is also believed Khalid Sheikh Mohammed was the one who planned the attacks[5] and that Atef was the one who organized the hijackers.[5]",['al-Qaeda'],What organization did the terrorists on 9/11 belong to?,"Two weeks after the September 11 attacks, the Federal Bureau of Investigation connected the hijackers to al-Qaeda,[1] a global,",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What organization did the terrorists on 9/11 belong to?
English Context: Two weeks after the September 11 attacks, the Federal Bureau of Investigation connected the hijackers to al-Qaeda,[1] a global,",,1.4763097763061523
en-validation-255,When was the Model T Ford introduced?,"The Ford Model T (colloquially known as the Tin Lizzie, Leaping Lena, or flivver) is an automobile produced by Ford Motor Company from October 1, 1908, to May 26, 1927.[6][7] It is generally regarded as the first affordable automobile, the car that opened travel to the common middle-class American; some of this was because of Ford's efficient fabrication, including assembly line production instead of individual hand crafting.[8]","['October 1, 1908']",When was the Model T Ford introduced?,"The Ford Model T (colloquially known as the Tin Lizzie, Leaping Lena, or flivver) is an automobile produced by Ford Motor Company from October",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When was the Model T Ford introduced?
English Context: The Ford Model T (colloquially known as the Tin Lizzie, Leaping Lena, or flivver) is an automobile produced by Ford Motor Company from October",,1.4697539806365967
en-validation-327,Who made the first synthetic rubber?,"The expanded use of bicycles, and particularly their pneumatic tires, starting in the 1890s, created increased demand for rubber. In 1909, a team headed by Fritz Hofmann, working at the Bayer laboratory in Elberfeld, Germany, succeeded in polymerizing isoprene, the first synthetic rubber.[3][4]",['a team headed by Fritz Hofmann'],Who made the first synthetic rubber?,"The expanded use of bicycles, and particularly their pneumatic tires, starting in the 1890s, created increased demand for rubber. In 1909, a",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Who made the first synthetic rubber?
English Context: The expanded use of bicycles, and particularly their pneumatic tires, starting in the 1890s, created increased demand for rubber. In 1909, a",,1.4758851528167725
en-validation-291,Who is Sean Hannity?,"Sean Patrick Hannity (born December 30, 1961) is an American talk show host and conservative political commentator. Hannity is the host of The Sean Hannity Show, a nationally syndicated talk radio show. He also hosts a cable news show, Hannity, on Fox News.",['an American talk show host and conservative political commentator'],Who is Sean Hannity?,"Sean Patrick Hannity (born December 30, 1961) is an American talk show host and conservative political commentator. Hannity is the host of *The Sean",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Who is Sean Hannity?
English Context: Sean Patrick Hannity (born December 30, 1961) is an American talk show host and conservative political commentator. Hannity is the host of *The Sean",,1.4632117748260498
en-validation-184,What is the most common translation of the Bible?,"The New Revised Standard Version is the version most commonly preferred by biblical scholars.[1] In the United States, 55% of survey respondents who read the Bible reported using the King James Version in 2014, followed by 19% for the New International Version, with other versions used by fewer than 10%.[2]",['King James Version'],What is the most common translation of the Bible?,"The New Revised Standard Version is the version most commonly preferred by biblical scholars. In the United States, 55% of survey respondents who read the Bible reported using",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What is the most common translation of the Bible?
English Context: The New Revised Standard Version is the version most commonly preferred by biblical scholars. In the United States, 55% of survey respondents who read the Bible reported using",,1.4641566276550293
en-validation-82,"When was Columbus, GA founded?","Founded in 1828 by an act of the Georgia Legislature, Columbus was situated at the beginning of the navigable portion of the Chattahoochee River and on the last stretch of the Federal Road before entering Alabama. The city was named for Christopher Columbus, its founders likely influenced by the writings of Washington Irving. The plan for the city was drawn up by Dr. Edwin L. DeGraffenried, who placed the town on a bluff overlooking the river. Across the river to the west, where Phenix City, Alabama is now located, Creek Indians still lived until they were forcibly removed in 1836 by the federal government to make way for European-American settlers.",['1828'],"When was Columbus, GA founded?","Founded in 1828 by an act of the Georgia Legislature, Columbus was situated at the beginning of the navigable portion of the Chattahoochee River and on the last stretch",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When was Columbus, GA founded?
English Context: Founded in 1828 by an act of the Georgia Legislature, Columbus was situated at the beginning of the navigable portion of the Chattahoochee River and on the last stretch",,1.4786131381988525
en-validation-438,What is the most common first word by babies?,"Infants begin to understand words such as ""Mommy"", ""Daddy"", ""hands"" and ""feet"" when they are approximately 6 months old.[1][2] Initially, these words refer to their own mother or father or hands or feet. Infants begin to produce their first words when they are approximately one year old.[3][4] Infants' first words are normally used in reference to things that are of importance to them, such as objects, body parts, people, and relevant actions. Also, the first words that infants produce are mostly single-syllabic or repeated single syllables, such as ""no"" and ""dada"".[4] By 12 to 18 months of age, children's vocabularies often contain words such as ""kitty"", ""bottle"", ""doll"", ""car"" and ""eye"". Children's understanding of names for objects and people usually precedes their understanding of words that describe actions and relationships. ""One"" and ""two"" are the first number words that children learn between the ages of one and two.[5] Infants must be able to hear and play with sounds in their environment, and to break up various phonetic units to discover words and their related meanings.","['single-syllabic or repeated single syllables, such as ""no"" and ""dada""']",What is the most common first word by babies?,"Infants begin to understand words such as ""Mommy"", ""Daddy"", ""hands"", and ""feet"" when they are approximately 6 months old.[1][",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What is the most common first word by babies?
English Context: Infants begin to understand words such as ""Mommy"", ""Daddy"", ""hands"", and ""feet"" when they are approximately 6 months old.[1][",,1.5100374221801758
en-validation-405,When did Lou Gehrig live?,"Henry Louis Gehrig, (born Heinrich Ludwig Gehrig[1] June 19, 1903–June 2, 1941), nicknamed ""the Iron Horse"", was an American baseball first baseman who played his entire professional career (17 seasons) in Major League Baseball (MLB) for the New York Yankees, from 1923 until 1939. Gehrig was renowned for his prowess as a hitter and for his durability, which earned him his nickname ""the Iron Horse."" He was an All-Star seven consecutive times,[2] a Triple Crown winner once,[3] an American League (AL) Most Valuable Player twice,[3] and a member of six World Series champion teams. He had a career .340 batting average, .632 slugging average, and a .447 on base average. He hit 493 home runs and had 1,995 runs batted in (RBI). In 1939, he was elected to the Baseball Hall of Fame[4] and was the first MLB player to have his uniform number (4) retired by a team.","['June 19, 1903–June 2, 1941']",When did Lou Gehrig live?,"Henry Louis Gehrig, (born Heinrich Ludwig Gehrig[1] June 19, 1903–June 2, 1941), nicknamed",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When did Lou Gehrig live?
English Context: Henry Louis Gehrig, (born Heinrich Ludwig Gehrig[1] June 19, 1903–June 2, 1941), nicknamed",,1.5058670043945312
en-validation-227,What is the most popular sport in Mexico?,"The most popular sport in Mexico is association football followed by boxing.[1][2] However, there are regional variations: for example, baseball is the most popular sport in the northwest and the southeast of the country. Basketball, American football and bull riding (called ""Jaripeo"") are also popular.",['association football'],What is the most popular sport in Mexico?,"The most popular sport in Mexico is association football followed by boxing. However, there are regional variations: for example, baseball is the most popular sport in the northwest and the",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What is the most popular sport in Mexico?
English Context: The most popular sport in Mexico is association football followed by boxing. However, there are regional variations: for example, baseball is the most popular sport in the northwest and the",,1.4627280235290527
en-validation-75,Where is Adelaide located?,"Adelaide (/ˈædəleɪd/(listen) AD-ə-layd)[8] is the capital city of the state of South Australia, and the fifth-most populous city of Australia. In June 2017, Adelaide had an estimated resident population of 1,333,927.[1] Adelaide is home to more than 75 percent of the South Australian population, making it the most centralised population of any state in Australia.",['South Australia'],Where is Adelaide located?,"Adelaide (/ˈædəleɪd/(listen) AD-ə-layd)[8] is the capital city of the state of South Australia, and the fifth-most populous",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: Where is Adelaide located?
English Context: Adelaide (/ˈædəleɪd/(listen) AD-ə-layd)[8] is the capital city of the state of South Australia, and the fifth-most populous",,1.4687581062316895
en-validation-218,How many provinces are there in the Lazio region?,Lazio is divided into four provinces and one metropolitan (province-level) city:,['four'],How many provinces are there in the Lazio region?,Lazio is divided into four provinces and one metropolitan (province-level) city:,There are four provinces in the Lazio region.,There are four provinces in the Lazio region.,,,,"English Question: How many provinces are there in the Lazio region?
English Context: Lazio is divided into four provinces and one metropolitan (province-level) city:
English Answer: There are four provinces in the Lazio region.",,1.3602337837219238
en-validation-397,How long did David Sharp live for?,"David Sharp (15 February 1972 – 15 May 2006) was an English mountaineer who died near the summit of Mount Everest.[3] His death caused controversy and debate, because he was passed by a number of other climbers heading to and returning from the summit as he was dying,[2][4] although a number of others did try to help him.[2]",['15 February 1972 – 15 May 2006'],How long did David Sharp live for?,David Sharp (15 February 1972 – 15 May 2006) was an English mountaineer who died near the summit of Mount Everest,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: How long did David Sharp live for?
English Context: David Sharp (15 February 1972 – 15 May 2006) was an English mountaineer who died near the summit of Mount Everest",,1.4653923511505127
en-validation-342,What is the origin of the word technology?,"Technology (""science of craft"", from Greek τέχνη, techne, ""art, skill, cunning of hand""; and -λογία, -logia[2]) is the collection of techniques, skills, methods, and processes used in the production of goods or services or in the accomplishment of objectives, such as scientific investigation. Technology can be the knowledge of techniques, processes, and the like, or it can be embedded in machines to allow for operation without detailed knowledge of their workings. Systems (e. g. machines) applying technology by taking an input, changing it according to the system's use, and then producing an outcome are referred to as technology systems or technological systems.",['Greek'],What is the origin of the word technology?,"Technology (""science of craft"", from Greek τέχνη, techne, ""art, skill, cunning of hand""; and -λογία, -logia[2]) is the",[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What is the origin of the word technology?
English Context: Technology (""science of craft"", from Greek τέχνη, techne, ""art, skill, cunning of hand""; and -λογία, -logia[2]) is the",,1.4763233661651611
en-validation-76,How many people became infected with the Spanish Flu?,"The 1918 influenza pandemic (January 1918– December 1920; colloquially known as Spanish flu) was an unusually deadly influenza pandemic, the first of the two pandemics involving H1N1 influenza virus.[1] It infected 500million people around the world,[2] including people on remote Pacific islands and in the Arctic, and resulted in the deaths of 50 to 100million (three to five percent of the world's population),[3] making it one of the deadliest natural disasters in human history.[4][5][6]",['500million'],How many people became infected with the Spanish Flu?,The 1918 influenza pandemic (January 1918– December 1920; colloquially known as Spanish flu) was an unusually deadly,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: How many people became infected with the Spanish Flu?
English Context: The 1918 influenza pandemic (January 1918– December 1920; colloquially known as Spanish flu) was an unusually deadly",,1.4727509021759033
en-validation-434,What is the current population of Shanghai?,"Shanghai (Chinese:上海, Mandarin pronunciation: [ʂâŋ.xài](listen), Wu pronunciation:[zɑ̃.hɛ](listen)) is one of the four municipalities under the direct administration of the central government of the People's Republic of China, the largest city in China by population, and the second most populous city proper in the world, with a population of 24.18 million as of 2017.[13][14] It is a global financial centre[15] and transport hub, with the world's busiest container port.[16] Located in the Yangtze River Delta, it sits on the south edge of the estuary of the Yangtze in the middle portion of the East China coast. The municipality borders the provinces of Jiangsu and Zhejiang to the north, south and west, and is bounded to the east by the East China Sea.[17]",['24.18 million'],What is the current population of Shanghai?,Shanghai (Chinese: 上海; pinyin: Shànghǎi) is one of the four municipalities under the direct administration of the central government of the People's Republic of China,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: What is the current population of Shanghai?
English Context: Shanghai (Chinese: 上海; pinyin: Shànghǎi) is one of the four municipalities under the direct administration of the central government of the People's Republic of China",,1.4952850341796875
en-validation-193,When did Frank Russell Dancevic turn pro?,"The right-handed Dancevic turned pro in 2003 and reached his career high singles ranking in September 2007 at world No. 65. A native of Niagara Falls, Ontario, he was at that time the highest ranked men's Canadian singles player since Daniel Nestor, who was ranked world No. 61 in September 1999. It was Fred Niemeyer whom Dancevic overtook to become, in early 2006, Canada's top-ranked singles player.",['2003'],When did Frank Russell Dancevic turn professional?,The right-handed Dancevic turned pro in 2003 and reached his career-high singles ranking in September 2007 at World No.,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When did Frank Russell Dancevic turn professional?
English Context: The right-handed Dancevic turned pro in 2003 and reached his career-high singles ranking in September 2007 at World No.",,1.4740254878997803
en-validation-73,When did the New Black Panther Party voter intimidation case take place?,"
The New Black Panther Party voter intimidation case is a political controversy in the United States concerning an incident that occurred during the 2008 election. The New Black Panther Party and two of its members, Minister King Samir Shabazz and Jerry Jackson, were charged with voter intimidation for their conduct outside a polling station in Philadelphia, Pennsylvania.",['during the 2008 election'],When did the New Black Panther Party voter intimidation case take place?,The New Black Panther Party voter intimidation case is a political controversy in the United States concerning an incident that occurred during the 2008 election.,[SP_Extract_Error_EN_A],[SP_Extract_Error_LRL_A],,,,"English Question: When did the New Black Panther Party voter intimidation case take place?
English Context: The New Black Panther Party voter intimidation case is a political controversy in the United States concerning an incident that occurred during the 2008 election.",,1.470107078552246
