premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_premise_translation_response,raw_hypothesis_translation_response,raw_nli_response,runtime_seconds,error_message
"Les dimensions restantes sont imaginées comme recourbées sur l'échelle de longueur de Planck dans ce qu'on appelle les espaces Calabi-Yau, ou plus généralement, les modules compactifiés.",Les espaces Calabi-Yau s'étendent sur une grande surface.,2,contradiction,The remaining dimensions are imagined as being curled up on the length scale of the Planck length in what is called Calabi-Yau spaces or more generally compactified modules.,Calabi-Yau spaces occupy a large area.,contradiction,contradiction,contradiction,The remaining dimensions are imagined as being curled up on the length scale of the Planck length in what is called Calabi-Yau spaces or more generally compactified modules.,Calabi-Yau spaces occupy a large area.,contradiction,2.6875741481781006,
23. Elan continu financier essentiel pour atteindre les objectifs du CFO Act,Les finances 23 sont sur le point d'atteindre tous leurs objectifs.,1,neutral,23. The essential financial drive for achieving the objectives of the CFO Act,Finance 23 is close to achieving all its objectives.,neutral,neutre,neutral,23. The essential financial drive for achieving the objectives of the CFO Act,Finance 23 is close to achieving all its objectives.,neutral,1.807727336883545,
"Je suis sous pression, lui apprit-elle.",Elle lui avait dit qu'elle était sous pression.,0,entailment,"I'm under pressure, she told him.",She had told him she was under pressure.,entailment,implicativement,entailment,"I'm under pressure, she told him.",She had told him she was under pressure.,entailment,1.4179329872131348,
c'est probablement plus parce que j'apprécie simplement la couverture que parce que je n'ai pas le temps de lire le journal vous savez,Ils couvrent beaucoup plus que ce que vous obtiendrez dans le journal.,1,neutral,It's probably more because I just like the cover than because I don't have time to read the paper you know.,They cover a lot more than you'll get in the newspaper.,contradiction,contradiction,contradiction,It's probably more because I just like the cover than because I don't have time to read the paper you know.,They cover a lot more than you'll get in the newspaper.,contradiction,3.002028465270996,
"Jane, Dave, et un analyste du FBI ayant participé à l'unité de la CIA chargée de Ben Laden sont allés à New York le 11 juin pour rencontrer des agents à propos de l'affaire Cole.",L'analyste du FBI a parlé à sept agents de l'affaire Cole.,1,neutral,"Jane, Dave and a FBI analyst who had participated in the CIA unit tasked with bin Laden went to New York on June 11 to meet with agents about the Cole case.",The FBI analyst spoke to seven agents about the Cole case.,neutral,neutre,neutral,"Jane, Dave and a FBI analyst who had participated in the CIA unit tasked with bin Laden went to New York on June 11 to meet with agents about the Cole case.",The FBI analyst spoke to seven agents about the Cole case.,neutral,2.982269525527954,
"D'un autre côté, les particules et les trois forces non-gravitationnelles n'ont pas encore été incorporées dans une image de réseau de spin.",Les forces non gravitationnelles doivent être incorporées pour que l'image du réseau de rotation soit complète.,1,neutral,"On the other hand, particles and the three non-gravity forces have not yet been incorporated into a spin network picture.",Non-gravitational forces must be incorporated for the image of the rotating network to be complete.,contradiction,contradiction,contradiction,"On the other hand, particles and the three non-gravity forces have not yet been incorporated into a spin network picture.",Non-gravitational forces must be incorporated for the image of the rotating network to be complete.,contradiction,3.360189437866211,
Tu aurais dû te rendre compte du danger.,Tu ne dois pas regarder la crise qui a lieu en ce moment même.,2,contradiction,You should have realized the danger.,You must not look at the crisis that is taking place right now.,contradiction,contradiction,contradiction,You should have realized the danger.,You must not look at the crisis that is taking place right now.,contradiction,1.7756214141845703,
"Sa sœur pouvait passer pour une blanche, et c'était effectivement le cas.",Sa sœur avait la peau la plus belle du quartier.,1,neutral,Her sister could pass for white and that was indeed the case.,Her sister had the most beautiful skin in the neighborhood.,contradiction,contradiction,contradiction,Her sister could pass for white and that was indeed the case.,Her sister had the most beautiful skin in the neighborhood.,contradiction,2.095409870147705,
"Notre système de gestion des frontières et de l'immigration, y compris les forces de l'ordre, doit adresser un message de bienvenue, de tolérance et de justice aux membres des communautés d'immigrants situées tant aux États-Unis que dans leur pays d'origine.",Notre pays devrait réparer notre image globalement et accueillir les réfugiés ici.,1,neutral,"Our border and immigration management system, including law enforcement agencies, must send a welcome, tolerance and justice message to members of immigrant communities in both the United States and their home countries.",Our country should repair our image globally and take in refugees here.,contradiction,contradiction,contradiction,"Our border and immigration management system, including law enforcement agencies, must send a welcome, tolerance and justice message to members of immigrant communities in both the United States and their home countries.",Our country should repair our image globally and take in refugees here.,contradiction,3.66835880279541,
"La publication du livre du CRP (Candidat Républicain à la Présidentielle) est suivie de la tournée promotionnelle du livre, ce qui introduit la caractéristique suivante du",Le livre de RPH aura sa propre tournée.,0,entailment,"The publication of the book by the CRP (Republican candidate for President) is followed by a promotional tour of the book, which introduces the following characteristic of the",The book of RPH will have its own tour.,contradiction,contradiction,contradiction,"The publication of the book by the CRP (Republican candidate for President) is followed by a promotional tour of the book, which introduces the following characteristic of the",The book of RPH will have its own tour.,contradiction,3.0986640453338623,
Le télésiège est un grand favori.,Personne n'aime le télésiège.,2,contradiction,The teleski is a big favorite.,Nobody likes the chairlift.,contradiction,contradiction,contradiction,The teleski is a big favorite.,Nobody likes the chairlift.,contradiction,1.5636804103851318,
"Pour les aides à l'évacuation du 11 septembre, voir, par exemple, Civilian interview 14 (avril",Aucune aide n'est disponible en ce qui concerne l'évacuation du 11 Septembre.,2,contradiction,"For September 11th evacuation assistance, see, for example, Civilian Interview 14 (April",No help is available in regard to evacuation of September 11th.,contradiction,contradiction,contradiction,"For September 11th evacuation assistance, see, for example, Civilian Interview 14 (April",No help is available in regard to evacuation of September 11th.,contradiction,2.7354705333709717,
"«Un informateur du Tennessee a utilisé l'expression temps de chien pour signifier «un temps chaud et sec», ce qui vient sans doute de l'expression canicule, qui fait référence au temps sec du mois d'août.",Juin et juillet sont également très chauds dans le Tennessee.,1,neutral,"A Tennessee informant used dog days to mean hot and dry weather, which probably comes from the term canicle, referring to the dry weather of August.",June and July are also very hot in Tennessee.,contradiction,contradiction,contradiction,"A Tennessee informant used dog days to mean hot and dry weather, which probably comes from the term canicle, referring to the dry weather of August.",June and July are also very hot in Tennessee.,contradiction,2.638714075088501,
"Je l'ai tué, c'est vrai.",La vie de l'homme a été épargnée.,2,contradiction,"I did kill him, it's true.",The life of man was spared.,contradiction,contradiction,contradiction,"I did kill him, it's true.",The life of man was spared.,contradiction,1.5121583938598633,
Mais j'étais pressé de vous débarquer.,La personne voulait un amant.,1,neutral,But I was in a hurry to get you off.,The person wanted a lover.,contradiction,contradiction,contradiction,But I was in a hurry to get you off.,The person wanted a lover.,contradiction,1.5271751880645752,
"Si vous vous sentez à la hauteur, continuez le long du sentier des brumes, après Emerald Pool, Nevada Fall, et vous commencerez à semer la foule.",Nevada Falls est une grande randonnée avec quelques personnes.,1,neutral,"If you feel up to it, carry on along the Mist Trail after Emerald Pool, Nevada Falls, and you'll start to spread the crowd out.",Nevada Falls is a big hike with some people.,contradiction,contradiction,contradiction,"If you feel up to it, carry on along the Mist Trail after Emerald Pool, Nevada Falls, and you'll start to spread the crowd out.",Nevada Falls is a big hike with some people.,contradiction,2.739389657974243,
"Je l'ai signalé dans une lettre au Dr. Cela a semblé l'amuser, et il m'a envoyé un petit cake aux fruits pour Noël.",Le docteur m'a envoyé un bouteille de vin ce Noël là.,2,contradiction,I mentioned it in a letter to Dr. It seemed to amuse him and he sent me a little fruit cake for Christmas.,The doctor sent me a bottle of wine that Christmas.,contradiction,contradiction,contradiction,I mentioned it in a letter to Dr. It seemed to amuse him and he sent me a little fruit cake for Christmas.,The doctor sent me a bottle of wine that Christmas.,contradiction,2.6264970302581787,
le sens que le chèquier soit juste un chèque vierge et son plafond illimité non pas qu'elle peut juste dépenser comme elle le veut mais c'est presque cette attitude,Elle a l'impression de pouvoir dépenser plus de 1 000 $ par nuit.,1,neutral,the sense that the checkbook is just a blank check and its limit not that she can just spend as she wants but it's almost this attitude,"She feels she can spend more than $1,000 per night.",contradiction,contradiction,contradiction,the sense that the checkbook is just a blank check and its limit not that she can just spend as she wants but it's almost this attitude,"She feels she can spend more than $1,000 per night.",contradiction,2.9043707847595215,
"Mon héro, donc, est Richard Heseltine, le président de la foundation d' investissement d' Outre-mer, qui a démissionné plus tôt ce mois-ci pour s'opposer au plan de développement que lui ont imposé ses supérieurs",Heseltine a quitté son travail.,0,entailment,"My hero is therefore Richard Heseltine, chairman of the overseas investment foundation, who resigned earlier this month in protest at the development plans imposed on him by his superiors.",Heseltine left his job.,entailment,implicativement,entailment,"My hero is therefore Richard Heseltine, chairman of the overseas investment foundation, who resigned earlier this month in protest at the development plans imposed on him by his superiors.",Heseltine left his job.,entailment,2.898230791091919,
