question,ground_truth,predicted_answer,f1_score,language,few_shot
Mtume Thoma alikuwa nani?,mmojawapo kati ya Mitume wa Yesu anayeheshimiwa kama mtakatifu,Hapana,0.0,sw,False
"Je,Walter Rodney alizaliwa mwaka upi?",1942,___________\nPiga namba ya mwaka ambayo Walter Rodney aliwakilishwe katika mukta-dha linalot,0.0,sw,False
"Je,Paul Emil von Lettow-Vorbeck alizaliwa lini?","20 Machi, 1870",___________\nPiga namba yako za ujuzi zaidi au kamili. \nAina ya Jibu ni...\,0.0,sw,False
"Je,msanii Juma Nature alizaliwa lini?",1980,Hapana,0.0,sw,False
Mti wa Moringa una tibu magonjwa aina ngapi?,zaidi ya 100,__________\nPiga majibu yako saba za moja kwenye vitendo vyake vyanzaji vizuri au unaz,0.0,sw,False
Amani James Pausen Temba  ni mwanachama kiongozi wa kitu gani?,Tmk Wanaume,"___________\nThe answer to the question based on the information provided is:

**Amani James Pausen Temba (""Mheshimiwa",0.19999999999999998,sw,False
"Je,gazeti la BrooWaha huchapishwa kila baada ya wakati gani?",katika au baada ya saa 24,"Baada ya saa 10 pm ili kupanga uchawi, watumiaji waliohifadhiwa kutoka to",0.33333333333333337,sw,False
Rais wa kwanza wa Togo anaitwa nani?,Sylvanus Olympio,____________\n\nHapa ni maoni yangu unayotaka kutatua. Jibu huenda? Tofauti,0.0,sw,False
Ruwaza ya Kenya 2030 ilitengenezwa mwaka upi?,2008,___________\nPata juhudi za neno lina katika mukataba yako? Jibu zinaweza kutum,0.0,sw,False
"Je, Edward Moss alizaliwa lini?",11 Julai 1977,Hapana,0.0,sw,False
Vita vya pili vya dunia viliisha mwaka gani?,1945,Mwaka ___________\nPata juhudi zaidi au tayari kuweka majibu? Tafadhali uj,0.0,sw,False
Wangari Muta Maathai alizaliwa wapi?,Kenya,Hapana,0.0,sw,False
"Je,popo ni ndege ama mnyama?",mamalia kama panya mwenye mabawa,Hapana,0.0,sw,False
Pathojeni ni nini?,"i jina kwa bakteria, virusi au fungi zinazoweza kusababisha ugonjwa",___________\nPata juhudi za majibu yako saba (1-7) kutoka kwenye 20 marka,0.4444444444444444,sw,False
Mhariri mkuu wa gazeti la The Era mwaka 1838 anaitwa nani?,Leitch Ritchie,Nani inayotumiwa baada ya punde wa 20? \nA) Wamalengo wa ghuba (,0.0,sw,False
"Je,ndimu iko katika familia gani ya mimea?",michungwa,___________\nThe question provided is asking for the family of a citrus fruit and its characteristics,0.0,sw,False
Sayari kubwa kuliko zingine inaitwaje?,Mshtarii,Kama mshtari hujiweka kuongeza masi yake pamoja na utaridhi katika ujum,0.5,sw,False
Osama Bin Laden alizaliwa mwaka upi?,1957,"Mwaka yasiyo ni ___________.\nPia, tuma maeneo ya kutumika katika ujuzi w",0.0,sw,False
"Je,msitu wa Mau una ukubwa kiasi gani?",hektari 273300,Kama msitu tata ya Mau unaweza kuwasiliana saba sababu yake yanayofaa nyingine,0.0,sw,False
Mary Lynn Rajskub alizaliwa mwaka upi?,1971,Mwaka yasiyo,0.0,sw,False
Kampuni isambazayo umeme nchini Kenya inaitwaje?,Kenya Power and Lighting,Hapana,0.0,sw,False
Mji mkubwa Burundi ni upi?,Bujumbura,"__________\n

Buna? Tafadhali tuelewa.
Kuingia kuuliza ushauri yako. U",0.0,sw,False
"Je,Hoteli ya Fairmont Royal York ilizinduliwa lini?",11 Juni 1929,Hoteli yako inilifikuniweze ili kuuliza linikumbuka? \nThe answer to the question 'Was Hotel Fairmount,0.0,sw,False
"Je,mkoa wa Morogoro ina idadi ya watu wangapi?","2,218,492",Hapana,0.0,sw,False
Sehemu ya juu ya nyumba huitwaje?,paa,Hapana,0.0,sw,False
"Je,nani mwanzilishi wa mashindano ya WWE?",Rogers Buddy,Mwanzilishi wa mashindano ya WWE ni ___________,0.33333333333333337,sw,False
Emmaus Shule ya Biblia iko sehemu gani?,Dodoma,__________\nPia sifa za maeneo yasiyo zinazotumiwa katika mukataba. Kama un,0.0,sw,False
"Je,inchi ya Iceland ina idadi ya watu wangapi?",laki tatu,"Inkiingina unahitaji kuuliza namba yasiyo zinazotolewe. Hata hayo,\nkuna",0.0,sw,False
Philip Emeagwali alizaliwa mwaka upi?,1954,\tPhilip Emeagwali amezaliwa saba agostu 1974. Toa chanzo cha j,0.0,sw,False
Jeff Koinange alizaliwa mwaka upi?,1966,Hapana,0.0,sw,False
"Je,mwanamziki Profesa Jay ni mbunge wa wapi nchini Tanzania?",Mikumi,___________\nPatajibuni ya ushauri yako katika maeneo hayao? Kuna uwezo kutum,0.0,sw,False
"Je, Abunwasi na mwandishi Abu Nuwas wana sifa zipi zinazo fanana?",Hekaya za Abunuwasi ni mkusanyo wa hadithi fupi zinazosimulia habari za Abunuwas. Hadithi hizi hazina uhusiano na Abu Nuwas,Sifia yake ya Abu nuwas ina ___________.\nPata neno linalofanana katika mukataba,0.4285714285714285,sw,False
Ayatollah Ruhollah Musawi Khomeini alizaliwa mwaka upi?,1902,Hapana,0.0,sw,False
"Je,nchi ya Tanzania ina majimbo ngapi?",214 Tanzania Bara na majimbo 50 Zanzibar,214,0.0,sw,False
"Shule ya St. Andrews ""Turi"" ilianza mwaka upi?",1931,__________\nThe question asks for the year when a school named 'St Andrew's' was established and provides information about its history including founding details by,0.0,sw,False
"Je,mji wa Lamu inapatikana katika sehemu gani nchi Kenya?",pwani,Hapana,0.0,sw,False
Kasoko ya Ngorongoro inapatika wapi?,Tanzania,"Kama kasoko yako ya Ngorongoro inapatikanipatiliana katika 1978, tukitum",0.0,sw,False
"Je,R. Kelly alizaliwa mwaka gani?",1967,Mwaka __________\nPangolinuka? - Katika maeneo hayasi au unayezungumzia soko linal,0.0,sw,False
Mkoa wa Lindi uko na ukubwa wa kiasi gani?,"km² 67,000",Ukubwa wa kiasi yake inaonekane katika neno linalotumia? (Inaweza kuweka,0.0,sw,False
Mwanamziki Rihana alizaliwa mwaka upi?,1988,RiHANA alienda kwako usiku wengi saba? -\nPia tayari kupata maoni yoyote yan,0.0,sw,False
Jina la Bauxiti linatokana na nini?,"kijiji cha ""Les Baux de Provence"" katika Ufaransa ambako mtapo umegunduliwa mara ya kwanza",___________\nThe answer to the question 'What is bauxite associated with,0.7272727272727273,sw,False
"Je,Rebeca Z. Gyumi alizaliwa katika mkoa gani nchini Tanzania?",Dodoma,Mkoa inayazaliwa ni ___________.\nPiga chanzo zaidi za 10 sifaat au maud,0.0,sw,False
Wimbo wa kwanza wa  Keyshia Miesha Cole unaitwaje?,Never,Kama wimbo wa kuanzaji wa Keyshia Miesha Cole iliyotumika siku moja nyingine,0.0,sw,False
Filamu ya Sarafina ilizinduliwa lini kwa mara ya kwanza?,1992,"___________\nPia, unaweza kuweka majibu yako kwenye maeneo hayao ili kupungua? |",0.0,sw,False
"Je,Thiago Silva alianza kucheza soka mwaka upi?",Alipokuwa na umri wa miaka 14,Thamini yake ni ___________\nPiga thamini za mukatabaji zinazotumiwa (kuna tatu,0.5,sw,False
"Je,nani alizindua jina la Altdeutscher Schäferhund?",Max von Stephanitz,___________\nPata jumo zaidi za mukataba katika https://en.wikipedia.org/wiki/Altdeutscher_Scha,0.2857142857142857,sw,False
Karl Peters aliaga dunia mwaka upi?,1918,___________\nPaki ujiba,0.0,sw,False
Yesu alisulubiwa katika mlima gani?,Kalivari au Golgotha,Hapana,0.0,sw,False
Wade Andrew William alizaliwa wapi?,Georgia,Neno linalotumiwa ni ___________.\nPiga namba za 1-4 kunaenda mara moja ili kup,0.0,sw,False
Yesu Kristo alizaliwa mwaka gani?,labda 6 KK,Mwaka ___\nThe answer to the question is based on historical and religious records,0.0,sw,False
"Je,Sally McLellan alizaliwa mwaka upi?",1986,Hapana,0.0,sw,False
Mwanamziki Shaggy alianza kuimba mwaka upi?,1988,___________\nPiga neno linalotumainishwa zaidi za shughuli unayoyeuna kutengeneza,0.0,sw,False
Lugha rasmi ya nchi ya Kodivaa ni ipi?,Kifaransa,___________\nPia sifa za ujuzi unayofanikiwa katika majibu yako. Hapa ikiw,0.4,sw,False
Gazeti la The Province  huchapishwa na kundi gani?,Pacific Newspaper,"__________\nThe question provided states that ""The Province"" is a daily newspaper published by the Pororo News Corporation and it has been in publication since",0.18181818181818182,sw,False
"Je,jina la utani wa Monique Séka ni ipi?",malkia wa muziki wa Afro-zouk,Hapana,0.0,sw,False
Sibusiso Wiseman Zuma alizaliwa mwaka gani?,1975,Mwaka yake mzalimu zilikuza ndogo nyingine? \nPia tafadhali kuuliza kutok,0.0,sw,False
"Je,Christopher Richard Mwashinga alizaliwa mwaka upi?",1965,___________\nPata juhudi za kuongezi katika ushirikiano wako? Kama unaweza kupanga u,0.0,sw,False
Fly Me to the Moon uliimbwa ulirekodiwa na nani?,Kaye Ballard,Hapana,0.0,sw,False
"Je,Joachim Kimario alizaliwa mwaka upi?",1973,___________\nThe question provided is asking for the year in which someone named Joachim Kimario was born,0.0,sw,False
Kaburi la yesu liko wapi?,mjini Yerusalemu,___________\nPia unaweza kuweka namba yoyote yanayofanikiwa katika maeneo haya. K,0.0,sw,False
"Je,Mheshimiwa Temba alizaliwa mwaka upi?",1980,__________\nThe answer to the question 'When was Mr,0.0,sw,False
Vladimir Nabokov alihamia Marekani mwaka gani?,1940,Hapana,0.0,sw,False
Kitabu cha pili cha agano la kale ni gani?,Kutoka,"___________ To solve the problem of determining how many books are in between two specified points within a list or range:

- **Start Point:** The",0.0,sw,False
Dini ya Ukristo ina idadi gani ya waumini Duniani mnamo mwaka 2019?,bilioni 2.3,Inawezekana kutuma namba yasiyo katika muktaudhani ili kupata idadi za waumini ya d,0.0,sw,False
"Je,Albania iko katika bara gani?",Ulaya,Hapana,0.0,sw,False
Mji mkuu wa Moroko ni upi?,Rabat,Hapana,0.0,sw,False
Kenneth David Kaunda alizaliwa mwaka upi?,1924,___________\nPata mkono wako unayotofauta sio? Tafadhali tuma ujibuni yangu,0.0,sw,False
"Je,Afrika Mashariki ina nchi ngapi?",18,20,0.0,sw,False
Beres Hammond alizaliwa mwaka gani?,1955,Hapana,0.0,sw,False
Msitu wa Mau uko na ukubwa wa kiasi gani?,hektari 273300,1548,0.0,sw,False
Sibusiso Wiseman Zuma alizaliwa wapi?,"Durban, KwaZulu-Natal",___________\nPia tafadhali ujenikisha sababu yako za kuongeza jibuni. \nThe task,0.0,sw,False
Shule ya St. Andrews Turi ilianza mwaka upi?,1931,___________\nThe question provided is asking for the year when St Andrew's School was established,0.0,sw,False
"Je,miraa inapatikana kwa wingi katika kaunti gani Kenya?",Meru,\na) 50%\nb) 47% c)38%d)69%\nPia sifa za kuonge,0.0,sw,False
