id,text,ground_truth_label,predicted_label,language,runtime_seconds,prompt_language,shot_type,raw_model_output
por_test_2059,@user 😂😂😂 marido de dia e de tarde não vai gostar 😂😂,neutral,neutral,pt,0.1059,LRL-instruct,few-shot,neutral
por_test_1105,Tá difícil achar o X na equação de hoje (banho). 🙆🏾‍♂️🙆🏾‍♂️,positive,neutral,pt,0.1026,LRL-instruct,few-shot,neutral
por_test_818,@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 Todos da matola a fazer trend de mim...,neutral,positive,pt,0.1008,LRL-instruct,few-shot,positive
por_test_1237,🚶🏾‍♂️.Oxalá que aquilo que procuras valha mais do que aquilo que estás a perder 👋🏽,negative,neutral,pt,0.1022,LRL-instruct,few-shot,neutral
por_test_463,@user @user @user É meu mestre esse... só sabe q nossas discussões não terminam 😂😂😂dois teimosos,neutral,neutral,pt,0.1022,LRL-instruct,few-shot,neutral
por_test_410,@user 😂😂😂😂 pergunta se uma coisa responde outra. Mas why,neutral,neutral,pt,0.1014,LRL-instruct,few-shot,neutral
por_test_3392,@user não tá respeitar a kota 😂😂😂😂😂 como assim . Sabe tia mesmo que ela era pra ser Meme?,neutral,negative,pt,0.1024,LRL-instruct,few-shot,negative
por_test_2600,"- Em Moz, músicos que estão na rocha estão a virar TikTokers ou memeiros 😃😃... Mesmo assim ninguém ri piadas deles😄",neutral,neutral,pt,0.1026,LRL-instruct,few-shot,neutral
por_test_1037,Minha mãe está orgulhosa!💯💿🇲🇿🥰 https://t.co/uMMh8Ecnpl,negative,positive,pt,0.1027,LRL-instruct,few-shot,positive
por_test_3075,🤣🤣🤣lembrei da minha vizinha. https://t.co/BwOXymk0wD,neutral,neutral,pt,0.1024,LRL-instruct,few-shot,neutral
por_test_594,Abri a porta para espreitar lá fora minha cara ficou bronzeada. 🙌🏽,neutral,neutral,pt,0.1015,LRL-instruct,few-shot,neutral
por_test_798,Estou a viver em Moçambique mas já não esse coração 💔,neutral,neutral,pt,0.1011,LRL-instruct,few-shot,neutral
por_test_1222,"@user @user Que foi iludida, traída e abandonada😹😹😹",neutral,negative,pt,0.1014,LRL-instruct,few-shot,negative
por_test_1174,@user @user MININAAAAAA 😳😳😳😳😳 QUE CASE É ESSE MEU DEUS,neutral,neutral,pt,0.1017,LRL-instruct,few-shot,neutral
por_test_2353,"Às vezes não é negar dar boleia, vocês fecham mal a porta. Dói no peito😡😡",positive,negative,pt,0.1019,LRL-instruct,few-shot,negative
por_test_1859,@user A te já estou a bater uma punheta😥😥,neutral,neutral,pt,0.1011,LRL-instruct,few-shot,neutral
por_test_3313,"@user Depois aquela pergunta chata """"mas não estamos bem aqui?""""😬😂😂",neutral,negative,pt,0.1016,LRL-instruct,few-shot,negative
por_test_1422,"Saudações. Só queria avisar que NÃO ESTOU DISPONÍVEL PARA FESTAS E SOCIAIS, até Dezembro. Convidem-me para fazer investimentos ou abrir negócios e empresa, assim também como sugestão de cursos tecnológicos que melhorem minha carreira profissional. Kateca, boas entradas. 🙏🏾",neutral,neutral,pt,0.1055,LRL-instruct,few-shot,neutral
