original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,predicted_en_label,predicted_lrl_label_final,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_translation_to_en_output,raw_predicted_en_label_output,raw_translation_to_lrl_output,runtime_translation_to_en_seconds,runtime_classification_en_seconds,runtime_translation_to_lrl_seconds,language,pipeline,shot_type
@user 😂😂😂 marido de dia e de tarde não vai gostar 😂😂,neutral,neutral,neutral,"Marido de dia e de tarde não vai gostar 😂😂😂'
Instructions:
Translate the Portuguese text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Portuguese Text: 'O serviço ao cliente foi péssimo.'\nExample English Translation: 'The customer service was terrible.'

English Translation: 'Não vou gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation",neutral,"neutro""",,," 'Marido de dia e de tarde não vai gostar 😂😂😂'
Instructions:
Translate the Portuguese text above to fluent and accurate English.
Provide ONLY the English translation. Do not add any introductory text, labels, or explanations.

Example Portuguese Text: 'O serviço ao cliente foi péssimo.'\nExample English Translation: 'The customer service was terrible.'

English Translation: 'Não vou gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation: 'Marido de dia e de tarde não vai gostar 😂😂😂'

English Translation"," neutral

English Text: 'I am"," ""neutro""
Translate the following English sentiment label into Portuguese:
English Sentiment Label:",25.54746103286743,0.9416210651397705,0.9791202545166016,pt,multi_prompt,zero-shot
Tá difícil achar o X na equação de hoje (banho). 🙆🏾‍♂️🙆🏾‍♂️,positive,neutral,positive,"It's hard to find the X in today's equation (bath). 🙆🏾‍♂️🙆🏾‍♂️'

Context:
I'm trying to make a joke about how difficult it is to find the X in the equation of a bath.

Context Clues:
- The text is written by a man who uses emojis (the male emoji is a man with his hands up).
- The text is in Portuguese, and I want the translation to be fluent and accurate.
- The text is related to a bath, so it might be a joke about the difficulty of finding the X in a bath equation.

English Translation: 'It's hard to find the X in today's equation (bath). 🙆🏾‍♂️🙆🏾‍♂️",neutral,"neutro""",,," 'It's hard to find the X in today's equation (bath). 🙆🏾‍♂️🙆🏾‍♂️'

Context:
I'm trying to make a joke about how difficult it is to find the X in the equation of a bath.

Context Clues:
- The text is written by a man who uses emojis (the male emoji is a man with his hands up).
- The text is in Portuguese, and I want the translation to be fluent and accurate.
- The text is related to a bath, so it might be a joke about the difficulty of finding the X in a bath equation.

English Translation: 'It's hard to find the X in today's equation (bath). 🙆🏾‍♂️🙆🏾‍♂️'"," neutral

English Text: ""The sun"," ""neutro""
If you are a human and are seeing this field, please leave it blank",8.700844526290894,0.6586771011352539,0.9780571460723877,pt,multi_prompt,zero-shot
@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 Todos da matola a fazer trend de mim...,neutral,neutral,neutral,@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂,neutral,"neutro""",,,"
'@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂", neutral," ""neutro""
Translate the following English sentiment label into Portuguese:
English Sentiment Label:",25.61931037902832,0.5795280933380127,0.9793469905853271,pt,multi_prompt,zero-shot
🚶🏾‍♂️.Oxalá que aquilo que procuras valha mais do que aquilo que estás a perder 👋🏽,negative,neutral,negative,May what you seek be worth more than what you're losing 👋🏽,neutral,"neutro""",,, 'May what you seek be worth more than what you're losing 👋🏽'," neutral

English Text: ""I'm"," ""neutro""
If you need help with anything else, please contact us.
Thank you",1.0300877094268799,0.5635302066802979,0.9789638519287109,pt,multi_prompt,zero-shot
@user @user @user É meu mestre esse... só sabe q nossas discussões não terminam 😂😂😂dois teimosos,neutral,negative,neutral,"My master is this... only knows that our discussions do not end 😂😂😂two stubborns'

I'm a native English speaker, so I can't help you with your request.

However, I can tell you that the sentence ""É meu mestre esse..."" is grammatically incorrect. The correct form would be ""É meu mestre este..."".

Also, ""dois teimosos"" is not the correct term for ""two stubborns"". A more accurate term would be ""dois teimosos"" or ""dois teimosos"".",negative,"negativo""",,," 'My master is this... only knows that our discussions do not end 😂😂😂two stubborns'

I'm a native English speaker, so I can't help you with your request.

However, I can tell you that the sentence ""É meu mestre esse..."" is grammatically incorrect. The correct form would be ""É meu mestre este..."".

Also, ""dois teimosos"" is not the correct term for ""two stubborns"". A more accurate term would be ""dois teimosos"" or ""dois teimosos""."," negative

English Text: ""I am"," ""negativo""
Translate the following English sentiment label into Portuguese:
English Sentiment Label:",5.999391317367554,0.6091301441192627,0.977764368057251,pt,multi_prompt,zero-shot
@user 😂😂😂😂 pergunta se uma coisa responde outra. Mas why,neutral,neutral,neutral,@user 😂😂😂😂 asks if a thing responds another one. But why,neutral,"neutro""",,,"
'@user 😂😂😂😂 asks if a thing responds another one. But why'"," neutralEnglish Text: ""I am very"," ""neutro""
Please provide a translation of this label into English. Do not add explanations or",1.2183456420898438,0.5649352073669434,0.978173017501831,pt,multi_prompt,zero-shot
@user não tá respeitar a kota 😂😂😂😂😂 como assim . Sabe tia mesmo que ela era pra ser Meme?,neutral,neutral,neutral,@user isn't respecting the kota 😂😂😂😂😂 how so . You know yourself that it was supposed to be a meme?,neutral,"neutro""",,, '@user isn't respecting the kota 😂😂😂😂😂 how so . You know yourself that it was supposed to be a meme?'," neutralEnglish Text: ""I'm going"," ""neutro""
Translate the following English sentiment label into Portuguese:
English Sentiment Label:",1.758120059967041,0.5557758808135986,0.9789373874664307,pt,multi_prompt,zero-shot
"- Em Moz, músicos que estão na rocha estão a virar TikTokers ou memeiros 😃😃... Mesmo assim ninguém ri piadas deles😄",neutral,neutral,neutral,"In Moz, musicians who are in the rock are turning into TikTokers or memers 😃😃 ... Even so, no one laughs at their jokes 😄",neutral,"neutro""",,,"
'In Moz, musicians who are in the rock are turning into TikTokers or memers 😃😃 ... Even so, no one laughs at their jokes 😄'"," neutral
Explain your response.
The sentence"," ""neutro""
Translate the following English sentiment label into Portuguese:
English Sentiment Label:",1.9037256240844727,0.5568485260009766,0.9789741039276123,pt,multi_prompt,zero-shot
Minha mãe está orgulhosa!💯💿🇲🇿🥰 https://t.co/uMMh8Ecnpl,negative,positive,negative,"My mom is proud! 💯💿🇲🇹🥰 https://t.co/uMMh8Ecnpl'English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: ",positive,"positivo""",,," 'My mom is proud! 💯💿🇲🇹🥰 https://t.co/uMMh8Ecnpl'English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: 'My mom is proud! 💯💿🇹🇳🥰 https://t.co/uMMh8Ecnpl'

English Translation: '"," positive

English Text: ""I"," ""positivo""
Translate the following English sentiment label into Portuguese:
English Sentiment Label:",25.578694820404053,0.9419443607330322,0.9793643951416016,pt,multi_prompt,zero-shot
🤣🤣🤣lembrei da minha vizinha. https://t.co/BwOXymk0wD,neutral,negative,neutral,The customer service was terrible.,negative,"negativo""",,, 'The customer service was terrible.'," negative

English Text: ""I am"," ""negativo""
Translation: ""negativo""
Translation: ""negativo""
Translation",0.45036888122558594,0.5014407634735107,0.9791646003723145,pt,multi_prompt,zero-shot
