original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,intermediate_en_label,predicted_lrl_label_final_raw,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_model_response,runtime_seconds_sample,language,pipeline,shot_type
@user 😂😂😂 marido de dia e de tarde não vai gostar 😂😂,neutral,positive,neutral,"
@user 😂😂😂 husband of day and afternoon will not like 😂😂
",positive,[Extraction Error LRL Label],,,"English Translation:
```
@user 😂😂😂 husband of day and afternoon will not like 😂😂
```
English Sentiment Label:
positive
Portuguese Sentiment Label:
positivo",2.739957571029663,pt,single_prompt,few-shot
Tá difícil achar o X na equação de hoje (banho). 🙆🏾‍♂️🙆🏾‍♂️,positive,negative,positive,It's hard to find X in today's equation (bathroom). 😬😬,negative,[Extraction Error LRL Label],,,"English Translation:
It's hard to find X in today's equation (bathroom). 😬😬

English Sentiment Label:
negative

Portuguese Sentiment Label:
negativo",2.5356879234313965,pt,single_prompt,few-shot
@user 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 Todos da matola a fazer trend de mim...,neutral,positive,neutral,😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 Todos da matola a fazer trend de mim...,positive,[Extraction Error LRL Label],,,"English Translation:
😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 😂 Todos da matola a fazer trend de mim...

English Sentiment Label:
positive

Portuguese Sentiment Label:
positivo",3.7927732467651367,pt,single_prompt,few-shot
🚶🏾‍♂️.Oxalá que aquilo que procuras valha mais do que aquilo que estás a perder 👋🏽,negative,neutral,negative,🚶🏾‍♂️. Oxalá que aquilo que procuras valha mais do que aquilo que estás a perder 👋🏽,neutral,[Extraction Error LRL Label],,,"
--- Your Response ---
English Translation:
🚶🏾‍♂️. Oxalá que aquilo que procuras valha mais do que aquilo que estás a perder 👋🏽

English Sentiment Label:
neutral

Portuguese Sentiment Label:
neutro",3.4849367141723633,pt,single_prompt,few-shot
@user @user @user É meu mestre esse... só sabe q nossas discussões não terminam 😂😂😂dois teimosos,neutral,positive,neutral,"
@user @user @user It's my master that... only knows that our discussions don't end 😂😂😂two stubborn ones
",positive,[Extraction Error LRL Label],,,"English Translation:
```
@user @user @user It's my master that... only knows that our discussions don't end 😂😂😂two stubborn ones
```
English Sentiment Label:
positive

Portuguese Sentiment Label:
positivo",3.2651617527008057,pt,single_prompt,few-shot
@user 😂😂😂😂 pergunta se uma coisa responde outra. Mas why,neutral,neutral,neutral,"
@user 😂😂😂😂 asks if one thing answers another. But why
",neutral,[Extraction Error LRL Label],,,"English Translation:
```
@user 😂😂😂😂 asks if one thing answers another. But why
```

English Sentiment Label:
neutral

Portuguese Sentiment Label:
neutro",2.772987127304077,pt,single_prompt,few-shot
@user não tá respeitar a kota 😂😂😂😂😂 como assim . Sabe tia mesmo que ela era pra ser Meme?,neutral,negative,neutral,"""@user doesn't respect the rules 😂😂😂😂😂 How come? You know very well that she was supposed to be a meme?""",negative,[Extraction Error LRL Label],,,"English Translation:
""@user doesn't respect the rules 😂😂😂😂😂 How come? You know very well that she was supposed to be a meme?""

English Sentiment Label:
negative

Portuguese Sentiment Label:
negativo",3.325627326965332,pt,single_prompt,few-shot
"- Em Moz, músicos que estão na rocha estão a virar TikTokers ou memeiros 😃😃... Mesmo assim ninguém ri piadas deles😄",neutral,neutral,neutral,"In Moz, musicians who are in rock are turning into TikTokers or memers 😃😃 ... But no one laughs at their jokes 😄",neutral,[Extraction Error LRL Label],,,"English Translation:
In Moz, musicians who are in rock are turning into TikTokers or memers 😃😃 ... But no one laughs at their jokes 😄

English Sentiment Label:
neutral

Portuguese Sentiment Label:
neutro",3.1208813190460205,pt,single_prompt,few-shot
Minha mãe está orgulhosa!💯💿🇲🇿🥰 https://t.co/uMMh8Ecnpl,negative,positive,negative,My mother is proud! 💯 💿 MzP 🥰 https://t.co/uMMh8Ecnpl,positive,[Extraction Error LRL Label],,,"English Translation:
My mother is proud! 💯 💿 MzP 🥰 https://t.co/uMMh8Ecnpl

English Sentiment Label:
positive

Portuguese Sentiment Label:
positivo",2.965691566467285,pt,single_prompt,few-shot
🤣🤣🤣lembrei da minha vizinha. https://t.co/BwOXymk0wD,neutral,neutral,neutral,😂😂😂lembrei da minha vizinha. https://t.co/BwOXymk0wY,neutral,[Extraction Error LRL Label],,,"English Translation:
😂😂😂lembrei da minha vizinha. https://t.co/BwOXymk0wY

English Sentiment Label:
neutral

Portuguese Sentiment Label:
neutro",2.8104333877563477,pt,single_prompt,few-shot
Abri a porta para espreitar lá fora minha cara ficou bronzeada. 🙌🏽,neutral,neutral,neutral,I opened the door to take a look outside my face turned red. 😳,neutral,[Extraction Error LRL Label],,,"
--- Your Response ---
English Translation:
I opened the door to take a look outside my face turned red. 😳

English Sentiment Label:
neutral

Portuguese Sentiment Label:
neutro",2.7040560245513916,pt,single_prompt,few-shot
Estou a viver em Moçambique mas já não esse coração 💔,neutral,negative,neutral,I'm living in Mozambique but my heart isn't here anymore.,negative,[Extraction Error LRL Label],,,"English Translation:
I'm living in Mozambique but my heart isn't here anymore.

English Sentiment Label:
negative

Portuguese Sentiment Label:
negativo",2.2387278079986572,pt,single_prompt,few-shot
"@user @user Que foi iludida, traída e abandonada😹😹😹",neutral,negative,neutral,"@user @user She was deceived, betrayed and abandoned 😹😹😹",negative,[Extraction Error LRL Label],,,"--- Your Response ---
English Translation:
@user @user She was deceived, betrayed and abandoned 😹😹😹

English Sentiment Label:
negative

Portuguese Sentiment Label:
negativo",2.7042734622955322,pt,single_prompt,few-shot
@user @user MININAAAAAA 😳😳😳😳😳 QUE CASE É ESSE MEU DEUS,neutral,negative,neutral,"
@user @user MININAAAAAA 😳😳😳😳😳 QUE CASE É ESSE MEU DEUS
",negative,[Extraction Error LRL Label],,,"
--- Your Response ---
English Translation:
```
@user @user MININAAAAAA 😳😳😳😳😳 QUE CASE É ESSE MEU DEUS
```

English Sentiment Label:
negative

Portuguese Sentiment Label:
negativo",3.424241065979004,pt,single_prompt,few-shot
