question,ground_truth,predicted_answer,f1_score,language,few_shot
Milloin ensimmäinen Tähtien sota elokuva julkaistiin?,25. toukokuuta 1977,"Ensimmäisen \""Tähtien sodan\"" elokuvan julkaistuessa oli vuosi ____. Julkaistavana",0.0,fi,False
Milloin Berliinin muuri kaatui?,1989,Ei,0.0,fi,False
Ketkä sotivat peloponnesolaissodassa?,Ateenan ja Sparta,\nPeloponnesolaissoda käytiin Ateenan ja Spartan johtamien liitojen välillä. N,0.4,fi,False
Mikä oli Stephenie Meyer ensimmäinen kirja?,Houkutus,"Stephenie Meyerin ensimmäisen kirjan nimi oli \""Houkutus\"". Se julkaistiin vuonna 2",0.25,fi,False
Minkä Suomen historian aikakauden katsotaan alkaneen Helmikuun manifestista?,Ensimmäisen sortokauden,Ensimmäisen sortokauden alkaa [huomioimaton vaihtoehto]\nEnsimmäinen sortoka,0.6666666666666666,fi,False
Mikä oli SOAD ensimmäinen levy?,System of a Down,SOAD:n ensimmäinen albumi oli **System of a Down** julkaistu kesällä 1998. T,0.6,fi,False
Minkä maalainen yhtiö Ubisoft on?,ranskalainen,"Ubisoft on ranskalainen yhtiö, jonka toimiala on videopelin kehittäminen ja julkaist",0.5,fi,False
Milloin Eurovisionia on aloitettu järjestämään?,1956,Eurovisionia on aloitettu järjestämään vuonna **1956**.\n\n[14]: https://,0.0,fi,False
Miksi vironruotsalaiset ovat historiallinen vähemmistö?,1210- ja 1220-luvulla saksalaiset ja tanskalaiset valloittivat virolaisten alueet. Virolaisia ei ollut perinteisesti asunut paljon rannikoilla. Tästä syystä paikalliset kartanonherrat alkoivat houkutella ruotsalaisia siirtolaisia mailleen,"Vironruotsalaiset ovat historiallisesti vähemmistö, koska ne olivat siirtolaisia",0.6666666666666666,fi,False
Minä vuonna kokaiini lähti pois Coca Colan reseptistä?,1903,Kokaiinin käyttö Coca Colan reseptissä poistui vuodesta **1903**.\n\nY,0.0,fi,False
Milloin Carl Sagan on syntynyt?,9. marraskuuta 1934,\nCarl Sagan on syntynyt 9. marraskuuta 1934. Toisin sanoen hänen,0.2857142857142857,fi,False
Missä Oliver Wolf Sacks kuoli?,"New York, Yhdysvallat","Oliver Wolf Sacks kuoli New Yorkissa, Yhdysvalloissa.[1]\n
Oliver Wolf Sacks on kuollut",0.3076923076923077,fi,False
Milloin Half-Life 2 julkaistiin?,16. marraskuuta 2004,"Based on the context provided, Half-Life 2 was released on November 16, 2004",0.4,fi,False
Milloin Lenin kuoli?,21. tammikuuta 1924,"Lenin kuoli 21. tammikuuta 1924 Gorki. \nHuomioi, että vastau",0.0,fi,False
Milloin Kaleva on perustettu?,1899,"Kalevan perustamisvuosi on ____. \nMiksi? Kontekstissa kerrotaan, että toimitt",0.0,fi,False
Milloin Jokerit on perustettu?,1967,\nJokerit on perustettu vuonna 1967.[2]\n\n[1] Huomioi,0.0,fi,False
Milloin höyrylaiva SS Edmund Fitzgerald upposi?,10. marraskuuta 1975,"Höyrylaiva SS Edmund Fitzgerald upposi **10. marraskuuta 1975**.
You are an",0.5,fi,False
Mikä on uraanin järjestysluku?,92,Urainin järjestysluku on \nA) 92 B) 235 C) 238 D,0.0,fi,False
Milloin Sima Qian syntyi?,90 eaa,Ei,0.0,fi,False
Milloin Philadelphia on perustettu?,1682,Philadelphia on perustettu vuonna \n1682.\n,0.0,fi,False
Mitä tarkoittaa hovimarsalkka?,hovikunnan esimiehenä toimiva,"Hovimarsalkka on hovipalvelukunta eli hovikunta, jonka esimies. Hänen te",0.5,fi,False
Milloin Calle Jularbo kuoli?,13. helmikuuta 1966,Calle Jularbo kuoli 13. helmikuuta 1966 Nacka. Toisin sanoen hän ku,0.0,fi,False
Miten Kurt Cobain kuoli?,Cobainin verestä löydettiin kolminkertainen yliannos heroiinia. Hän oli myös väitetysti ampunut itseään haulikolla,Kurt Cobain kuoli itselfampingulla 5. huhtikuuta 1994. Se tapahtui sen jäl,0.7499999999999999,fi,False
Mikä oli ensimmäinen Tähtien sota kirja?,Tähtien sodan romaaniversio,Ensimmäinen Tähtien sota -kirja julkaistiin vuonna 1976 ja se oli George Lucassin,0.5714285714285715,fi,False
Kuka on ohjannut elokuvan Joulubileet?,Jari Juhani Halonen,"Ohjannee elokuvan Joulubileet Jari Juhani Halonen.[1]\n
Based on the provided context",0.0,fi,False
Kuka on Ihmenelosten vihollinen?,"Ihmeneloset taistelivat monia vihollisia vastaan, joihin kuuluivat muukalaistyranni Kurrgo; mieliä hallitseva Nukkemestari, jonka tytärpuolesta Aliciasta – sokea kuvanveistäjä – tuli Ihmenelosten hyvä ystävä ja Benin pitkäaikainen tyttöystävä; muotoa muuttavan Ihmemiehen, erikoisen muukalaisen josta myöhemmin tuli ryhmän hyvä ystävä; uskomattoman Hulkin; aineettoman Punaisen Haamun ja hänen Superapinansa, jotka saivat voimansa matkimalla Ihmenelosten alkuperää; kieroutuneen neron Hullun Haihattelijan ja hänen Ällistyttävän Androidinsa; Superskrullin (Kl'rt), Ihmenelosten yhdistetyt voimat saaneen skrullin; ajassa matkustavan tyrannin Rama-Tutin, joka tunnettiin myös Kangina; materiaa järjestävän Molekyylimiehen; Hitler-klooni Vihankylväjän; alkemisti Diablon; atlantislaisen sotaherra Attuman; vallasta hullun miljonäärin Gregory Gideonin; ja hirviömäisen androidin Lohikäärmemiehen","Ihmenelosten viholliset ovat monipuoliselta listalta esitettyjä erouja, mutta joissakin",0.24489795918367346,fi,False
