id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,"Les dimensions restantes sont imaginées comme recourbées sur l'échelle de longueur de Planck dans ce qu'on appelle les espaces Calabi-Yau, ou plus généralement, les modules compactifiés.",Les espaces Calabi-Yau s'étendent sur une grande surface.,contradiction,neutral,"NEUTRAL

Prémisse: 'Les dimensions",0.7831,fr,fr,few-shot
1,23. Elan continu financier essentiel pour atteindre les objectifs du CFO Act,Les finances 23 sont sur le point d'atteindre tous leurs objectifs.,neutral,entailment,ENTAILMENTPrémisse: '23,0.7575,fr,fr,few-shot
2,"Je suis sous pression, lui apprit-elle.",Elle lui avait dit qu'elle était sous pression.,entailment,entailment,ENTAILMENTTexte: 'Je suis sous,0.7192,fr,fr,few-shot
3,c'est probablement plus parce que j'apprécie simplement la couverture que parce que je n'ai pas le temps de lire le journal vous savez,Ils couvrent beaucoup plus que ce que vous obtiendrez dans le journal.,neutral,entailment,"ENTAILMENT

Prémisse: 'I",0.7527,fr,fr,few-shot
4,"Jane, Dave, et un analyste du FBI ayant participé à l'unité de la CIA chargée de Ben Laden sont allés à New York le 11 juin pour rencontrer des agents à propos de l'affaire Cole.",L'analyste du FBI a parlé à sept agents de l'affaire Cole.,neutral,neutral,"NEUTRAL

Écrivez votre",0.7128,fr,fr,few-shot
5,"D'un autre côté, les particules et les trois forces non-gravitationnelles n'ont pas encore été incorporées dans une image de réseau de spin.",Les forces non gravitationnelles doivent être incorporées pour que l'image du réseau de rotation soit complète.,neutral,neutral,"NEUTRAL
Prémisse: 'D'un",0.8571,fr,fr,few-shot
6,Tu aurais dû te rendre compte du danger.,Tu ne dois pas regarder la crise qui a lieu en ce moment même.,contradiction,entailment,"ENTAILMENT
Texte: ""La femme est",0.7434,fr,fr,few-shot
7,"Sa sœur pouvait passer pour une blanche, et c'était effectivement le cas.",Sa sœur avait la peau la plus belle du quartier.,neutral,entailment,"ENTAILMENT

Prémisse: 'Elle",0.8211,fr,fr,few-shot
8,"Notre système de gestion des frontières et de l'immigration, y compris les forces de l'ordre, doit adresser un message de bienvenue, de tolérance et de justice aux membres des communautés d'immigrants situées tant aux États-Unis que dans leur pays d'origine.",Notre pays devrait réparer notre image globalement et accueillir les réfugiés ici.,neutral,neutral,"NEUTRAL

Prémisse: '",0.8337,fr,fr,few-shot
9,"La publication du livre du CRP (Candidat Républicain à la Présidentielle) est suivie de la tournée promotionnelle du livre, ce qui introduit la caractéristique suivante du",Le livre de RPH aura sa propre tournée.,entailment,entailment,ENTAILMENT,0.6144,fr,fr,few-shot
10,Le télésiège est un grand favori.,Personne n'aime le télésiège.,contradiction,neutral,"NEUTRAL

Prémisse: 'Le télé",0.7469,fr,fr,few-shot
11,"Pour les aides à l'évacuation du 11 septembre, voir, par exemple, Civilian interview 14 (avril",Aucune aide n'est disponible en ce qui concerne l'évacuation du 11 Septembre.,contradiction,entailment,"ENTAILMENT

Prémisse: '",0.9629,fr,fr,few-shot
12,"«Un informateur du Tennessee a utilisé l'expression temps de chien pour signifier «un temps chaud et sec», ce qui vient sans doute de l'expression canicule, qui fait référence au temps sec du mois d'août.",Juin et juillet sont également très chauds dans le Tennessee.,neutral,neutral,"NEUTRAL

Écrivez",0.9150,fr,fr,few-shot
13,"Je l'ai tué, c'est vrai.",La vie de l'homme a été épargnée.,contradiction,entailment,"ENTAILMENT

Prémisse: 'Je l",0.6733,fr,fr,few-shot
14,Mais j'étais pressé de vous débarquer.,La personne voulait un amant.,neutral,neutral,"NEUTRAL

Prémisse: 'I",0.9062,fr,fr,few-shot
15,"Si vous vous sentez à la hauteur, continuez le long du sentier des brumes, après Emerald Pool, Nevada Fall, et vous commencerez à semer la foule.",Nevada Falls est une grande randonnée avec quelques personnes.,neutral,neutral,"NEUTRAL

Prémisse: 'Si",1.0647,fr,fr,few-shot
16,"Je l'ai signalé dans une lettre au Dr. Cela a semblé l'amuser, et il m'a envoyé un petit cake aux fruits pour Noël.",Le docteur m'a envoyé un bouteille de vin ce Noël là.,contradiction,entailment,"ENTAILMENT

Prémisse: 'Je l",1.0150,fr,fr,few-shot
17,le sens que le chèquier soit juste un chèque vierge et son plafond illimité non pas qu'elle peut juste dépenser comme elle le veut mais c'est presque cette attitude,Elle a l'impression de pouvoir dépenser plus de 1 000 $ par nuit.,neutral,neutral,"NEUTRAL

Prémisse: 'le",0.7622,fr,fr,few-shot
18,"Mon héro, donc, est Richard Heseltine, le président de la foundation d' investissement d' Outre-mer, qui a démissionné plus tôt ce mois-ci pour s'opposer au plan de développement que lui ont imposé ses supérieurs",Heseltine a quitté son travail.,entailment,neutral,"NEUTRAL

Prémisse: '",0.8562,fr,fr,few-shot
19,"La source a affirmé que Ben Laden avait demandé et reçu de l'aide de l'expert en fabrication de bombes, qui y était resté en tant que formateur jusqu'en septembre 1996, date à laquelle l'information a été transmise aux Etats-Unis.",La source ne savait rien de Ben Laden.,contradiction,neutral,"NEUTRAL

Prémisse: '",0.8381,fr,fr,few-shot
