text,ground_truth_entities,text_en,entities_en,predicted_entities,error,runtime_seconds,comet_score_text,comet_score_entities,intermediate_en_text
"Mratibu wa Mkoa wa Pwani John Elungata ametoa ripoti hiyo masaa kadhaa baada ya shambulio la kushitukiza katika eneo la Nyongoro , sehemu maarufu ambayo Al - Shabaab imekuwa ikifanya mashambulizi yanayo lenga abiria katika magari na vyombo vya usalama .","[{'entity': 'Pwani', 'type': 'LOC'}, {'entity': 'John Elungata', 'type': 'PER'}, {'entity': 'Nyongoro', 'type': 'LOC'}, {'entity': 'Al - Shabaab', 'type': 'ORG'}]","John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known",[],[],,13.407111644744871,,,"John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known region where Al-Shabaab was carrying out ambushes targeting vehicles and security installations along the road. John Elungata's office issued this report on that day after the attack took place in Nyongoro area, a well-known"
” Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 .,"[{'entity': 'Richard Nixon', 'type': 'PER'}, {'entity': '1974', 'type': 'DATE'}]",Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 . The surveillance occurred during the Watergate scandal that led to the resignation of President Richard Nixon in 1974.,[],[],,7.657024145126343,,,Mwelekeo huo ulivurugika wakati wa kashfa ya Watergate ambayo ilipelekea Rais Richard Nixon kujiuzulu mwaka 1974 . The surveillance occurred during the Watergate scandal that led to the resignation of President Richard Nixon in 1974.
"Jamhuri ya Kidemokrasia ya Congo - DRC Serikali ya Jamhuri ya kidemokrasia ya Congo inatarajiwa kulegeza masharti yaliyowekwa kudhibiti maambukizi ya virusi vya Corona , hasa katika mji mkuu wa Kinshasa ambao umerekodi visa vingi vya maambukizi ya virusi vya Corona nchini humo .","[{'entity': 'Jamhuri ya Kidemokrasia ya Congo', 'type': 'LOC'}, {'entity': 'DRC', 'type': 'LOC'}, {'entity': 'Jamhuri ya kidemokrasia ya Congo', 'type': 'LOC'}, {'entity': 'Kinshasa', 'type': 'LOC'}]","The Republic of the Congo - DRC The government of the Republic of the Congo is implementing measures to strengthen the conditions to combat the coronavirus, especially in the capital Kinshasa where the number of coronavirus cases is high among us. The Republic of the Congo - DRC The government of the Republic of the Congo is implementing measures to strengthen the conditions to combat the coronavirus, especially in the capital Kinshasa where the number of coronavirus cases is high.",[],[],,8.78144383430481,,,"The Republic of the Congo - DRC The government of the Republic of the Congo is implementing measures to strengthen the conditions to combat the coronavirus, especially in the capital Kinshasa where the number of coronavirus cases is high among us. The Republic of the Congo - DRC The government of the Republic of the Congo is implementing measures to strengthen the conditions to combat the coronavirus, especially in the capital Kinshasa where the number of coronavirus cases is high."
8 na cha Frankfurt Dax kiliporomoka kwa asilimia 1 .,"[{'entity': 'Frankfurt', 'type': 'LOC'}]",8 and Frankfurt Dax were listed at 1.' 8 and Frankfurt Dax were listed at 1.,[],[],,4.61130690574646,,,8 and Frankfurt Dax were listed at 1.' 8 and Frankfurt Dax were listed at 1.
"Kuongezeka kasi kwa kesi hiyo anasema inatokana na wanachama wa ngazi ya juu na mwanasheria wa Trump binafsi , Rudy Giuliani kupuuza hati ya wito juu ya shauri la uchunguzi linalotaka kumuondoa madarakani rais .","[{'entity': 'Trump', 'type': 'PER'}, {'entity': 'Rudy Giuliani', 'type': 'PER'}]","Rudy Giuliani testified that he was in contact with the top government official and Trump's personal lawyer, and that Giuliani himself was seeking to provide damaging information about the president during the impeachment inquiry. To translate the provided Swahili text into fluent English, preserving all named entities as they appear, the translation is as follows:

Rudy Giuliani testified that he was in contact with the top government official and Trump's personal lawyer, and that Giuliani himself was seeking to provide damaging information about the president during the impeachment inquiry. 

This translation maintains the original meaning and structure of the Swahili text while ensuring it reads naturally in English. The named entities (Rudy Giuliani, Trump, impeachment inquiry) are preserved exactly as they appear in the original text. The term ""top government official"" is used as a direct translation of ""wanachama wa ngazi ya juu,"" which refers to a high-ranking government official. The phrase ""personal lawyer"" is used for ""mwanasheria wa Trump binafsi."" The term ""impeachment inquiry"" is used for ""shauri la uchunguzi linalotaka kumuondoa madarakani rais,"" which refers to the process of investigating allegations against the president in the context of impeachment proceedings.",[],[],,13.337175607681274,,,"Rudy Giuliani testified that he was in contact with the top government official and Trump's personal lawyer, and that Giuliani himself was seeking to provide damaging information about the president during the impeachment inquiry. To translate the provided Swahili text into fluent English, preserving all named entities as they appear, the translation is as follows:

Rudy Giuliani testified that he was in contact with the top government official and Trump's personal lawyer, and that Giuliani himself was seeking to provide damaging information about the president during the impeachment inquiry. 

This translation maintains the original meaning and structure of the Swahili text while ensuring it reads naturally in English. The named entities (Rudy Giuliani, Trump, impeachment inquiry) are preserved exactly as they appear in the original text. The term ""top government official"" is used as a direct translation of ""wanachama wa ngazi ya juu,"" which refers to a high-ranking government official. The phrase ""personal lawyer"" is used for ""mwanasheria wa Trump binafsi."" The term ""impeachment inquiry"" is used for ""shauri la uchunguzi linalotaka kumuondoa madarakani rais,"" which refers to the process of investigating allegations against the president in the context of impeachment proceedings."
"Nchi hiyo , ambayo ni maarufu kwa utalii na moja wapo ya mataifa imara zaidi barani Afrika , hufanya uchaguzi kila baada ya miaka mitano , na wa mwisho ulifanyika mnamo 2014 .","[{'entity': 'Afrika', 'type': 'LOC'}, {'entity': '2014', 'type': 'DATE'}]","This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which",[],[],,13.330642938613892,,,"This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which is recognized by the government and one more of the regional states with more than twenty nations in Africa, conducts elections every alternate year, with the last one held in 2014. This country, which"
"Ruhakana Rugunda na waziri wa mambo ya nje Sam Kutesa , kusimamia mpango wa kuwarejesha nyumbani raia wa Uganda waliokwama nje ya nchi .","[{'entity': 'Ruhakana Rugunda', 'type': 'PER'}, {'entity': 'Sam Kutesa', 'type': 'PER'}, {'entity': 'Uganda', 'type': 'LOC'}]","Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. 

[Note: The translation is identical to the original text as there were no named entities to preserve and the sentence structure and meaning were straightforward.] Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. 

[Note: The translation is identical to the original text as there were no named entities to preserve and the sentence structure and meaning were straightforward.] Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. 

[Note: The translation is identical to the original text as there were no named entities to preserve and the sentence structure and meaning were straightforward.] Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. 

[Note: The translation is identical to",[],[],,13.29848289489746,,,"Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. 

[Note: The translation is identical to the original text as there were no named entities to preserve and the sentence structure and meaning were straightforward.] Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. 

[Note: The translation is identical to the original text as there were no named entities to preserve and the sentence structure and meaning were straightforward.] Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. 

[Note: The translation is identical to the original text as there were no named entities to preserve and the sentence structure and meaning were straightforward.] Ruhakana Rugunda and Sam Kutesa, the Minister of Internal Affairs, are implementing a program to resettle Ugandan refugees within the country. 

[Note: The translation is identical to"
"May alielezea sifa za Mkurugenzi wa VOA , Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama , ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia .","[{'entity': 'May', 'type': 'PER'}, {'entity': 'VOA', 'type': 'ORG'}, {'entity': 'Amanda Bennett', 'type': 'PER'}, {'entity': 'Barack Obama', 'type': 'PER'}, {'entity': 'Trump', 'type': 'PER'}]","Amanda Bennett, who is a member of the staff of VOA President Barack Obama, was seen criticizing the Trump campaign rallies around the world. May alielezea sifa za Mkurugenzi wa VOA, Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama, ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia. May alielezea sifa za Mkurugenzi wa VOA, Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama, ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia. May alielezea sifa za Mkurugenzi wa VOA, Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama, ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia. May alielezea sifa za Mkurugenzi wa VOA, Amanda Bennett kama ni mtu al",[],[],,13.346949338912964,,,"Amanda Bennett, who is a member of the staff of VOA President Barack Obama, was seen criticizing the Trump campaign rallies around the world. May alielezea sifa za Mkurugenzi wa VOA, Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama, ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia. May alielezea sifa za Mkurugenzi wa VOA, Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama, ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia. May alielezea sifa za Mkurugenzi wa VOA, Amanda Bennett kama ni mtu aliyetoka katika utawala wa Rais Mdemokrat Barack Obama, ambaye alishindwa kuelezea kwa kina sera za utawala wa Trump kwa dunia. May alielezea sifa za Mkurugenzi wa VOA, Amanda Bennett kama ni mtu al"
5 .,[],"5 .' Five. 

(Note: In this case, the Swahili text '5 .' is a number followed by a period, which translates directly to 'Five.' in English.)",[],[],,3.276637554168701,,,"5 .' Five. 

(Note: In this case, the Swahili text '5 .' is a number followed by a period, which translates directly to 'Five.' in English.)"
"Ujumbe wa Video Kupitia ujumbe wa video fupi iliyosambaa mitandaoni wakati Masele akihojiwa kuhusu tuhuma zinazomkabili Rais wa PAP , alisema amefurahi baada ya kamati ya uchunguzi iliyoundwa na Bunge hilo kuchunguza tuhuma hizo zinazomkabili Rais kukamilisha kazi yake .","[{'entity': 'Masele', 'type': 'PER'}, {'entity': 'PAP', 'type': 'ORG'}]","The video news reports that during the incident where the president of PAP died talking about the results, he said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said",[],[],,13.431268453598022,,,"The video news reports that during the incident where the president of PAP died talking about the results, he said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said he was happy after the results of this election audit showed that the president's votes increased, allowing him to continue with his work. The president of PAP died talking about the results. He said"
