original_text_lrl,ground_truth_label,predicted_label,ground_truth_english_label,intermediate_en_text,intermediate_en_label,predicted_lrl_label_final_raw,comet_lrl_text_to_en,comet_en_label_to_lrl,raw_model_response,runtime_seconds_sample,language,pipeline,shot_type
   Mambo 9 muhimu ya kuzingatia unapotumia mitandao ya kijamii 1 Fikiria kwanza kabla ya kutuma taarifa yoyote mitan,neutral,neutral,neutral,"The important point 9 about using the city's website 1 First idea before sending all information on it

Step 2 -",neutral,[Extraction Error LRL Label],,,"Step 1 - English Translation:
The important point 9 about using the city's website 1 First idea before sending all information on it

Step 2 - English Sentiment Label:
neutral

Step 3 - Swahili Sentiment Label:
kati
Step 1 - English Translation:
The important point 9 about using the city's website 1 First idea before sending all information on it

Step 2 - English Sentiment Label:
neutral

Step 3 - Swahili Sentiment Label:
kati",2.842682123184204,sw,single_prompt,few-shot
Shilole AKA Shishi Baby kuhusu UkatiliUnyanyasaji Mtandaoni,positive,negative,positive,Shilole AKA Shishi Baby about the Murder Incident in the Neighborhood,negative,[Extraction Error LRL Label],,,"---

English Translation:
Shilole AKA Shishi Baby about the Murder Incident in the Neighborhood

English Sentiment Label:
negative

Swahili Sentiment Label:
hasi
--- Step 1: English Translation:
Shilole AKA Shishi Baby about the Murder Incident in the Neighborhood

Step 2: English Sentiment Label:
negative

Step 3: Swahili Sentiment Label:
hasi
---",2.29715633392334,sw,single_prompt,few-shot
   Changamoto ya Tax Refund inatokana na baadhi ya wadau kutokuwa waaminifu naomba baadhi ya wadau wafanye kazi kwa uaminifu,neutral,positive,neutral,"The tax refund program seems to be beneficial and many people want some of them to start working for the government

Step 2:",positive,[Extraction Error LRL Label],,,"Step 1: English Translation:
The tax refund program seems to be beneficial and many people want some of them to start working for the government

Step 2: English Sentiment Label:
positive

Step 3: Swahili Sentiment Label:
chanya
``` ```markdown
English Translation:
The tax refund program seems to be beneficial and many people want some of them to start working for the government

English Sentiment Label:
positive

Swahili Sentiment Label:
chanya
```",2.653683662414551,sw,single_prompt,few-shot
Kwamba acha kunyonya maziwa ya mama yale ni ya mtoto wako Acha kabisa,neutral,positive,neutral,Step 2:,positive,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Swahili Sentiment Label:
Step 1: English Translation:
Because the cow's milk is good, it belongs to your child Acha completely

Step 2: English Sentiment Label:
positive

Step 3: Swahili Sentiment Label:
chanya
",2.0162651538848877,sw,single_prompt,few-shot
   EWE KIJANA AMKA KUMEKUCHA Ni asubuhi nyingine tena katika ulimwengu uliojaa fursa nyingi hususani za kilimo biashara T,neutral,neutral,neutral,"Young man, I will visit tomorrow again in the working environment especially for agricultural business opportunities",neutral,[Extraction Error LRL Label],,,"---

---

---

--- Your Response (following the 3 steps precisely):

---

---

---
English Translation:
Young man, I will visit tomorrow again in the working environment especially for agricultural business opportunities

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
---",1.5127274990081787,sw,single_prompt,few-shot
   Hello MwanzaNew service in townThe most Mobile MessengerTuma chochotepopote pale na utaletewa ulipoContacts http,negative,neutral,negative,Hello Mwanza New service in town The most Mobile Messenger Tuma chochote popote pale na utaletewa ulipo Contacts http,neutral,[Extraction Error LRL Label],,,"---

English Translation:
Hello Mwanza New service in town The most Mobile Messenger Tuma chochote popote pale na utaletewa ulipo Contacts http

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
--- End Response --- Here's the completed task following the specified steps:

---

English Translation:
Hello Mwanza New service in town The most Mobile Messenger Tuma chochotepopote pale na utaletewa ulipo Contacts http

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati

---",3.1142759323120117,sw,single_prompt,few-shot
Eeeh mchezo wa kuloweka sio mzuri jamaa fanya vurugu mechi ila usiache zanaa,negative,positive,negative,"Oh, the installation process wasn't good because people were not cooperating at all",positive,[Extraction Error LRL Label],,,"---

English Translation:
Oh, the installation process wasn't good because people were not cooperating at all

English Sentiment Label:
negative

Swahili Sentiment Label:
hasi
--- The Response ---
English Translation:
Oh, the installation process wasn't good because people were not cooperating at all

English Sentiment Label:
negative

Swahili Sentiment Label:
hasi",2.011754035949707,sw,single_prompt,few-shot
   Tuna utajiri mkubwa Sana wa mawazo Ila namna yakuwasilisha na kuyafanyia kazi ndo kinachotufelisha,negative,positive,negative,"A large success Indeed in thought I will continue to support and do work that does not disappoint

Step 2 -",positive,[Extraction Error LRL Label],,,"Step 1 - English Translation:
A large success Indeed in thought I will continue to support and do work that does not disappoint

Step 2 - English Sentiment Label:
positive

Step 3 - Swahili Sentiment Label:
chanya
Step 1 - English Translation:
A large success Indeed in thought I will continue to support and do work that does not disappoint

Step 2 - English Sentiment Label:
positive

Step 3 - Swahili Sentiment Label:
chanya",2.665167808532715,sw,single_prompt,few-shot
   Utulivu wa akilini kuepuka papara stress unaweza kua na hekima lakini stress zikakuondolea u,negative,neutral,negative,"The thoughts in my head when overwhelmed with stress can be managed with wisdom but stress can be controlled

Step 2:",neutral,[Extraction Error LRL Label],,,"Step 1: English Translation:
The thoughts in my head when overwhelmed with stress can be managed with wisdom but stress can be controlled

Step 2: English Sentiment Label:
neutral

Step 3: Swahili Sentiment Label:
kati
``` ```markdown
English Translation:
The thoughts in my head when overwhelmed with stress can be managed with wisdom but stress can be controlled

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
```",2.5671002864837646,sw,single_prompt,few-shot
   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku,negative,positive,negative,God is very good and in 20102021 I completed my first degree from UDSM with honors,positive,[Extraction Error LRL Label],,,"---

English Translation:
God is very good and in 20102021 I completed my first degree from UDSM with honors

English Sentiment Label:
positive

Swahili Sentiment Label:
chanya
--- The Given Text ---
Swahili Text:
```
   Mungu ni mwema sana hatimae mnamo 20102021 nilitunukiwa shahada yangu ya kwanza DEGREE kutoka UDSM Asanteni nyote mlioku
```

Your Response (following",3.113205671310425,sw,single_prompt,few-shot
   Moja ya Kitu Kinayumbisha Mahusiano na Ndoa Siku Hizi Ni Pesa Ni Kweli Pesa Hainunui Upendo ila Pesa Inanunua Chakula N,neutral,neutral,neutral,"One thing that encourages hope and joy in these days is money it is true money does not bring love but money buys food N

Step 2 -",neutral,[Extraction Error LRL Label],,,"Step 1 - English Translation:
One thing that encourages hope and joy in these days is money it is true money does not bring love but money buys food N

Step 2 - English Sentiment Label:
neutral

Step 3 - Swahili Sentiment Label:
kati
Step 1 - English Translation:
One thing that encourages hope and joy in these days is money it is true money does not bring love but money buys food N

Step 2 - English Sentiment Label:
neutral

Step 3 - Swahili Sentiment Label:
kati",3.03857684135437,sw,single_prompt,few-shot
Habari tafadhali tunaomba utufahamishe ni kirufushi gani cha ofa ambacho kwako hakipo na kifurushi hicho hua ulikua ukijiunga upande wa saizi yako siku wiki mwezi au halichachi,neutral,neutral,neutral,Please let me know what kind of cough you have and whether there is any pain in your body on the side where you feel discomfort for a week or two,neutral,[Extraction Error LRL Label],,,"---

---

---
English Translation:
Please let me know what kind of cough you have and whether there is any pain in your body on the side where you feel discomfort for a week or two

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
---",1.5134162902832031,sw,single_prompt,few-shot
Unataka kunidondoshea agendaniache ninywe biawe ndo ulikuwa unamuogopakalegea sahivi ndo huogopi pambano,neutral,negative,neutral,Do you want me to reschedule my agenda because last time I found everyone uninterested and not paying attention at all,negative,[Extraction Error LRL Label],,,"---

English Translation:
Do you want me to reschedule my agenda because last time I found everyone uninterested and not paying attention at all

English Sentiment Label:
negative

Swahili Sentiment Label:
hasi
--- The Given Text ---
Swahili Text:
```
Unataka kunidondoshea agendaniache ninywe biawe ndo ulikuwa unamuogopakalegea sahivi ndo huogopi pambano
```

Your Response (following the 3 steps precisely):
---

English Translation:
Do you want me to res",3.1421170234680176,sw,single_prompt,few-shot
JIJI LA DODOMA KUWA NA UTALII WA BUSTANI YA MITI NA MAUA Naibu Waziri wa Maliasili na Utalii Constantine Kanyasu ameiagiza Kurugenzi ya Uzalishaji miche ya miti kuanzisha utalii wa,negative,neutral,negative,"The drought was caused by the forest minister and deputy minister Constantine Kanyasu who initiated the reforestation program to improve forestry.

Step 2:",neutral,[Extraction Error LRL Label],,,"---

Step 1: English Translation:
The drought was caused by the forest minister and deputy minister Constantine Kanyasu who initiated the reforestation program to improve forestry.

Step 2: English Sentiment Label:
neutral

Step 3: Swahili Sentiment Label:
kati
--- The task has been completed as requested. Here is the final output:

---

Step 1: English Translation:
The drought was caused by the forest minister and deputy minister Constantine Kanyasu who initiated the reforestation program to improve forestry.

Step 2: English Sentiment Label:
neutral",3.125105142593384,sw,single_prompt,few-shot
   Joel lwaga sitabaki kama,neutral,neutral,neutral,"Joel is still waiting as

Step 2:",neutral,[Extraction Error LRL Label],,,"Step 1: English Translation:
Joel is still waiting as

Step 2: English Sentiment Label:
neutral

Step 3: Swahili Sentiment Label:
kati
``` ```markdown
English Translation:
Joel is still waiting as

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
```",1.8855652809143066,sw,single_prompt,few-shot
   Tajiri Hasikii Njaa,negative,neutral,negative,"Rich Man Poor Man

Step 2:",neutral,[Extraction Error LRL Label],,,"---

Step 1: English Translation:
Rich Man Poor Man

Step 2: English Sentiment Label:
neutral

Step 3: Swahili Sentiment Label:
kati
--- Explanation ---
Note that ""Tajiri Hasikii Njaa"" translates to ""Rich Man Poor Man,"" which is a title and does not convey any specific sentiment. Therefore, it's considered neutral. The translation to Swahili remains ""kati."" ---

--- Your Response ---
---

Step 1: English Translation:
Rich Man Poor Man

Step 2: English Sentiment Label:
",3.104607343673706,sw,single_prompt,few-shot
Ni Easy na EzypesaBabe Tumia Ezypesa na Ushinde,neutral,positive,neutral,It's Easy and EzypesaBabe Uses Ezypesa and Innovates,positive,[Extraction Error LRL Label],,,"---

English Translation:
It's Easy and EzypesaBabe Uses Ezypesa and Innovates

English Sentiment Label:
positive

Swahili Sentiment Label:
chanya
--- Explanation ---
The phrase suggests that something is easy (""Easy"") and mentions innovation (""Innovates""), which generally convey a positive sentiment. Therefore, the sentiment is labeled as ""positive"". In Swahili, ""positive"" translates to ""chanya"". The response follows the required format strictly. ---

English Translation:
It's Easy and EzypesaBabe Uses Ezypesa and Innovates

",3.1059577465057373,sw,single_prompt,few-shot
   Karibu kwenye Episode ya 4 ya leo ikifika SAA TATU KAMILI kwenye feat FUNDI Kumbuka pi,neutral,neutral,neutral,Welcome to the latest episode of SAA TATU KAMILI featuring FUNDS KUMBUKA,neutral,[Extraction Error LRL Label],,,"---

---

---
English Translation:
Welcome to the latest episode of SAA TATU KAMILI featuring FUNDS KUMBUKA

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
---",1.2547540664672852,sw,single_prompt,few-shot
Asante kwa kuchagua CRDB Banktunakutakia siku njema SM,negative,positive,negative,"Thank you for using CRDB Bank, we wish you a good day SM",positive,[Extraction Error LRL Label],,,"---

English Translation:
Thank you for using CRDB Bank, we wish you a good day SM

English Sentiment Label:
positive

Swahili Sentiment Label:
chanya
---",1.050994873046875,sw,single_prompt,few-shot
   Nikikuamini jua nimejiamini pia,neutral,positive,neutral,Step 2:,positive,[Extraction Error LRL Label],,,"Step 1: English Translation:
Step 2: English Sentiment Label:
Step 3: Swahili Sentiment Label:
Step 1: English Translation:
I am used to the sun and I like it too

Step 2: English Sentiment Label:
positive

Step 3: Swahili Sentiment Label:
chanya",1.8754396438598633,sw,single_prompt,few-shot
   CHETI Ambacho Unaweza Kupata Bila Hata Kusoma Ni Cha NDOA Lakini Mitihani Yake Huja Baadae Kuoa Ni Rahisi Tu Tafuta,neutral,neutral,neutral,"The truth is you can get it without even reading it but its pace is slow after you start reading it is quite relaxing.

Step 2:",neutral,[Extraction Error LRL Label],,,"---

Step 1: English Translation:
The truth is you can get it without even reading it but its pace is slow after you start reading it is quite relaxing.

Step 2: English Sentiment Label:
neutral

Step 3: Swahili Sentiment Label:
kati
--- The response has been completed as requested. Here it is again for clarity:

---

Step 1: English Translation:
The truth is you can get it without even reading it but its pace is slow after you start reading it is quite relaxing.

Step 2: English Sentiment Label:
neutral

Step ",3.140178918838501,sw,single_prompt,few-shot
Ninamcheka kwasababu ajajistir huku kwetu wamejistili ndo maana siwez kucheka maana siyaoni Jistir afu uone Nani atakucheka Akikucheka Nambie,neutral,negative,neutral,I checked the reasons why they were upset but they remain silent and do not want to explain what exactly upset them. They just say nothing.,negative,[Extraction Error LRL Label],,,"---

English Translation:
I checked the reasons why they were upset but they remain silent and do not want to explain what exactly upset them. They just say nothing.

English Sentiment Label:
negative

Swahili Sentiment Label:
hasi
--- The Given Text ---
English Translation:
I checked the reasons why they were upset but they remain silent and do not want to explain what exactly upset them. They just say nothing.

English Sentiment Label:
negative

Swahili Sentiment Label:
hasi
---",2.7077999114990234,sw,single_prompt,few-shot
   Huyu shahidi anatatupa tafsiri ya haraka haraka ya gharama za kujihusisha na siasa za upinzani Tanzania inatisha kwakweli,positive,neutral,positive,This example shows that the study interpreting the rapid growth of revenue and politics in Tanzania has convinced many,neutral,[Extraction Error LRL Label],,,"---

---

---

---
English Translation:
This example shows that the study interpreting the rapid growth of revenue and politics in Tanzania has convinced many

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
---",1.2313423156738281,sw,single_prompt,few-shot
Asante kwa kuwa pamoja nasiushauri tumeupokea na tutaufanyia kazi kwa Kadiri tunavyoendelea kuim,negative,positive,negative,Thank you for being together and sharing with us and continuing to work hard for Kadiri,positive,[Extraction Error LRL Label],,,"---

English Translation:
Thank you for being together and sharing with us and continuing to work hard for Kadiri

English Sentiment Label:
positive

Swahili Sentiment Label:
chanya
---",1.0996615886688232,sw,single_prompt,few-shot
   leo unakuja na swali kwa wanahabari Nadharia inaonyesha kuwa wanahabari wanawake ni wengi katika vyumba vya,neutral,neutral,neutral,"In English, the sentence translates to: ""Today I asked a British woman about whether there are many female agents in the building.""

Step 2 -",neutral,[Extraction Error LRL Label],,,"Step 1 - English Translation:
In English, the sentence translates to: ""Today I asked a British woman about whether there are many female agents in the building.""

Step 2 - English Sentiment Label:
neutral

Step 3 - Swahili Sentiment Label:
kati
--- End Response ---
Step 1 - English Translation:
In English, the sentence translates to: ""Today I asked a British woman about whether there are many female agents in the building.""

Step 2 - English Sentiment Label:
neutral

Step 3 - Swahili Sentiment Label:
kati",3.138139486312866,sw,single_prompt,few-shot
Ni kijana msikivu sana darasani huwa makini mwalimu akifundisha Lakink baada ya matokeo yy huwa wa mwisho Wanafunzi wenzake darasani walipenda kumuita Empty heard mtu mjinga mpk mda mwingine wanamuuliza lini utapokea mafao yako Hali hii ilimuumiza sana moyo lkn,negative,positive,negative,I am a young student and he is a teacher who taught me before during the pandemic. Our students are currently studying and they like to hear you talk. This situation really cheers my heart up.,positive,[Extraction Error LRL Label],,,"---

---

---

---
English Translation:
I am a young student and he is a teacher who taught me before during the pandemic. Our students are currently studying and they like to hear you talk. This situation really cheers my heart up.

English Sentiment Label:
positive

Swahili Sentiment Label:
chanya
---",1.7503933906555176,sw,single_prompt,few-shot
UHURU MICHEZOFT Simba 21 AS VITA  13Kasenga 36Mohamed Hussein 90 Chama,neutral,neutral,neutral,UHURU MICHEZOFT Simba 21 AS VITA  13Kasenga 36Mohamed Hussein 90 Chama,neutral,[Extraction Error LRL Label],,,"---

English Translation:
UHURU MICHEZOFT Simba 21 AS VITA  13Kasenga 36Mohamed Hussein 90 Chama

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
--- 

Explanation Note:
- The text appears to be a list of names and numbers without any clear emotional content, hence the neutral sentiment. ---

English Translation:
UHURU MICHEZOFT Simba 21 AS VITA  13Kasenga 36Mohamed Hussein 9",3.1132662296295166,sw,single_prompt,few-shot
   Ukiwa huna hela utangatwa hata na mbwa wako,neutral,neutral,neutral,"One is not even afraid of your dog

Step 2:",neutral,[Extraction Error LRL Label],,,"Step 1: English Translation:
One is not even afraid of your dog

Step 2: English Sentiment Label:
neutral

Step 3: Swahili Sentiment Label:
kati
``` ```markdown
English Translation:
One is not even afraid of your dog

English Sentiment Label:
neutral

Swahili Sentiment Label:
kati
```",1.9884998798370361,sw,single_prompt,few-shot
