id,premise,hypothesis,ground_truth_label,predicted_label,raw_model_output,runtime_seconds,data_language,prompt_instruction_language,shot_type
0,baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.,کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔,contradiction,neutral,"NEUTRAL
The given text discusses the concept of Cal",0.7568,ur,ur,few-shot
1,CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,neutral,neutral,"NEUTRAL

متن نے 23 م",0.9098,ur,ur,few-shot
2,میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,entailment,neutral,NEUTRAL,0.4198,ur,ur,few-shot
3,یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔,جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔,neutral,neutral,"NEUTRAL
Text: 'یہ نہی",0.8095,ur,ur,few-shot
4,جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا,ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.,neutral,neutral,"NEUTRAL

متن نے ایک ا",0.7574,ur,ur,few-shot
5,دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.,غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے,neutral,neutral,"NEUTRAL

متن نے ذکر ک",0.7338,ur,ur,few-shot
6,آپ کو خطرہ دیکھا تھا.,آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.,contradiction,neutral,"NEUTRAL
The given text 'آپ کو",0.7974,ur,ur,few-shot
7,اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی,neutral,neutral,"NEUTRAL

متن نے اسکی",0.8600,ur,ur,few-shot
8,ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.,ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.,neutral,neutral,"NEUTRAL

متن نے امریک",0.6995,ur,ur,few-shot
9,آر پی ایچ کتاب کی اشاعت کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا.,ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا.,entailment,neutral,"NEUTRAL
The given text states that after the publication",0.6340,ur,ur,few-shot
10,چیئر لفٹ ایک پسندیدہ پسندیدہ ہے.,کوئی شخص چیئر لفٹ نہیں پسند کرتا ہے.,contradiction,contradiction,"CONTRADICTION

متن نے کہا ک",0.8559,ur,ur,few-shot
11,11 ستمبر کو نکالنے کے لئے امداد کے لئے، ملاحظہ کریں، مثال کے طور پر، شہری انٹرویو 14 (اپریل,11 ستمبر کو نکالنے کے حوالے سے کوئی امداد دستیاب نہیں ہیں.,contradiction,neutral,"NEUTRAL
The given text mentions that there is a",0.8017,ur,ur,few-shot
12,ٹینیسی کی خبر رساں نے گرم، خشک موسم کے لئے کتا موسم کے الفاظ استعمال کئے جو اگست کے خشک موسم کی طرف اشارہ کرنے والی اصطلاح کتے دن سے اخذ کئے جا سکتے ہیں۔,تینعسی مین بہی جون اور جولاءی مین شدید گرمی ہوتی ہے,neutral,neutral,"NEUTRAL

متن نے اگست ک",0.7634,ur,ur,few-shot
13,میں نے اسے مار ڈالا، یہ سچ ہے.,آدمی کی زندگی بچ گئی تھی,contradiction,neutral,"NEUTRAL

متن نے کہا ک",0.7171,ur,ur,few-shot
14,لیکن میں آپ کو زمین کی جلدی میں جلدی میں تھا.,فرد ایک محبت کرنے والا چاہتا تھا,neutral,neutral,"NEUTRAL
The given text, 'لیک",0.7110,ur,ur,few-shot
15,اگر آپ اس پر محسوس کر رہے ہیں تو، مٹی ٹریل کے ساتھ دھکا،نیدرا گر کے پاس، ایمیلڈ پول کے ماضی میں، اور آپ بھیڑوں کو کھونے کے لئے شروع کر دیں گے.,نوادا کی آبشار کا پیدل راستہ تھوڑے لوگوں کی موجودگی کے باعث زبردست جگہ ہے۔,neutral,contradiction,"NEUTRAL
 CONTRADICTION
 NEUTRAL",0.7211,ur,ur,few-shot
16,میں نے اس کو اس خط میں ایک خط لکھا تھا کہ اسے اس کا سامنا کرنا پڑا،اور انہوں نے مجھے ایک چھوٹے سے پھل کیک بھیج دیا جو کرسمس.,ډاکتر ماته په هغه کریسمس کي شراب  .واستول,contradiction,neutral,"NEUTRAL

متن نے کہا ک",0.7844,ur,ur,few-shot
17,یہ سوچ کے چیک بک صرف ایک خالی چک ہے، آپ سمجھ سکتے ہیں، اور اس میں لامحدود رقم ہے، یہ نہیں کہ وہ جاتی ہے اور لامحدود طریقے سے خرچ کرتی ہے لیکن لگ بگھ ایسا رویہ ہے,وہ محسوس کرتے ہیں کہ وہ ایک رات سے زیادہ سے زیادہ 1000 ڈالر خرچ کر سکتے ہیں.,neutral,neutral,"NEUTRAL

متن نے چک ب",0.7881,ur,ur,few-shot
18,میرا ہیرو اگرچہ اورسیز انویسٹمنٹ ٹرسٹ کا چیئرمین رچرڈ ہیسلٹین ہے جس نے حالیہ ماہ میں اپنے اعلی افسران کی طرف سے زبردستی لاگو کیے جانے والے کاروباری منصوبے کے خلاف احتجاجن استیفا دیا تھا۔,ہیسیلتاہں نے اپنی نوکری چھوڑدی,entailment,neutral,"NEUTRAL
The given text does not provide any information",0.7720,ur,ur,few-shot
19,ذرائع نے دعوی کیا کہ بن لادن نے پوچھا اور بم سازی کے ماہر سے مدد حاصل کی، جو وہاں وہاں ستمبر 1996 تک تربیت دے رہا تھا، جب یہ معلومات ریاستہائے متحدہ تک پہنچ گئی تھی.,ذریعہ اسامہ بن لادن کے بارے میں کچھ نہیں جانتا تھا۔,contradiction,contradiction,"NEUTRAL
 CONTRADICTION
 NEUTRAL",0.7777,ur,ur,few-shot
20,نیوی سکوسکیا سے تنگ تنگ Chignecto قونس، سے منسلک نیو برونزک 14،000 وفادار پناہ گزینوں کی درخواست پر 1784 میں ایک علیحدہ صوبہ بن گیا,نیو برنسوک 1784 میں ایک صوبہ نہیں تھا۔,contradiction,neutral,"NEUTRAL
The given text states that New Brunswick became",0.7579,ur,ur,few-shot
