premise_lrl,hypothesis_lrl,original_gt_label_int,ground_truth_eng_label_str,premise_en,hypothesis_en,predicted_english_label_model_intermediate,predicted_lrl_label_model_raw,predicted_label_for_accuracy,raw_model_response,runtime_seconds,error_message
baqi tasawor kiya jata hah hain kai dimension aik ball ki trah curved hui hai planck lenght scale par jise Calabi-Yau spaces kaha jata hah aur zayada aam tor par campacted moduli.,کلابی یاؤ جگہیں ایک ٹن تک پھیل گئی ہیں۔,2,contradiction,"The remaining constructions are done in such a way that the dimension of a sphere is equal to the curvature of a ball on the Planck length scale, which is called Calabi-Yau spaces and is more commonly known as compactified modules.",All Calabi-Yau spaces have been constructed.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The remaining constructions are done in such a way that the dimension of a sphere is equal to the curvature of a ball on the Planck length scale, which is called Calabi-Yau spaces and is more commonly known as compactified modules.

Translated English Hypothesis: All Calabi-Yau spaces have been constructed.

English NLI Label: Contradiction.",4.545161247253418,
CFO ایکٹ کے اہداف کو حاصل کرنے کے لئے 23 مالی مسلسل لمحات لازمی ہے,23Financial اپنے تمام مقاصد پورے کرنے کے پاس ہے,1,neutral,The CFO's goal is to achieve the necessary 23 financial insights for the upcoming fiscal year.,23Financial has all the capabilities to fulfill its objectives.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: The CFO's goal is to achieve the necessary 23 financial insights for the upcoming fiscal year. 

Translated English Hypothesis: 23Financial has all the capabilities to fulfill its objectives. 

English NLI Label: Entailment. 

The hypothesis entails the premise, suggesting that 23Financial has the resources and capabilities to achieve its goals as mentioned by the CFO.",4.360789775848389,
میں لاچار ہوں‏، اس عورت نے اس مرد کو بتایا۔,انہوں نے اسے کہا تھا کہ اس پر دباؤ ڈالا گیا تھا۔,0,entailment,I am hungry. She told him that he had a big belly.,He said that she had a big belly.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I am hungry. She told him that he had a big belly.

Translated English Hypothesis: He said that she had a big belly.

English NLI Label: Contradiction",2.4770171642303467,
یہ نہیں ہے کے میرے پاس اخبار پڑھنے کے لۂے وقت نہیں ہے، دراصل مجھے خبریں دیکھنیں میں زیادہ مذہ آتا ہے۔,جو کچھ آپ کو کاغذ پر ملے گا وہ اس سے بہت زیادہ کا احاطہ کرتے ہیں۔,1,neutral,"This is not because I don't have time to read the news, but because I find reading news more engaging.",Whatever is written on paper will give you a comprehensive overview.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: This is not because I don't have time to read the news, but because I find reading news more engaging.

Translated English Hypothesis: Whatever is written on paper will give you a comprehensive overview.

English NLI Label: Neutral.",3.04945969581604,
جین، ڈیو اور ایک ایف بی آئی تجزیہ کار جو سی آئی اے کے بن لادن کے یونٹ سے متعلق تفصیل کے مطابق 11 جون کو کول کیس کے بارے میں ایجنٹوں سے ملنے کے لئے نیویارک پہنچ گیا,ایف بی آئی کے تجزیہ کار کول کے کیس کے بارے میں سات ایجنٹوں سے گفتگو کرتے ہوئے.,1,neutral,"""When Jin, Dee, and a DB10 car, as per the details mentioned by Bin Laden's unclassified memo on June 11th, went to New York to meet with the agents.""","""The DB10 car's team discussed the case with seven agents.""",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: ""When Jin, Dee, and a DB10 car, as per the details mentioned by Bin Laden's unclassified memo on June 11th, went to New York to meet with the agents.""

Translated English Hypothesis: ""The DB10 car's team discussed the case with seven agents.""

English NLI Label: Contradiction.",4.63555121421814,
دوسری طرف، ذروں اور تین غیر کَشِش ثَقَل قوتوں کو سپین نیٹ ورک کے تصور  میں شامل کرنا ابھی باقی ہے.,غیر گروہی قوتیں کو شامل کرنا ضروری ہے ٹکے سپن نیٹ ورک تصویر مکمل ہو سکے,1,neutral,"The other side, the top and three non-cash heavy weights are still included in the spin net image.",It is necessary to include the non-cash weights because they can be complementary to the spin net image.,neutral,N/A_SP_EN_eval,neutral,"Translated English Premise: The other side, the top and three non-cash heavy weights are still included in the spin net image.

Translated English Hypothesis: It is necessary to include the non-cash weights because they can be complementary to the spin net image.

English NLI Label: Neutral.",4.175692796707153,
آپ کو خطرہ دیکھا تھا.,آپ کو اس لمحے میں ہونے والی بحران پر نظر نہیں رکھنی چاہئے.,2,contradiction,You saw a risk.,You do not want to consider the crisis that will happen in a moment.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You saw a risk.

Translated English Hypothesis: You do not want to consider the crisis that will happen in a moment.

English NLI Label: Contradiction.",2.6088945865631104,
اسکی بہن انگریز لگ سکتی تھی ، اور واقع میں انگریز لگتی بھی تھی,اس کی بہن  کی سورت  پڑوس میں  سب سے اچھی  تھی,1,neutral,"She could speak English fluently, and in fact, she did speak English.",Her brother's sort in the school team was the best.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: She could speak English fluently, and in fact, she did speak English.

Translated English Hypothesis: Her brother's sort in the school team was the best.

English NLI Label: Contradiction.",3.232583999633789,
ہماری سرحدوں اور امیگریشن کے نظام، بشمول قانون نافذ کرنے والے اداے، امریکہ میں تارکین وطنکی  کمیونٹی کے ارکان اور ان کے اصل ملکوں میں ، استقبال، رواداری اور انصاف کا ایک پیغام بھیجنا چاہتے ہیں.,ہمارے ملک کو دنیا بھر میں اپنی تصویر کی مرمت اور یہاں پناہ گزینوں کا استقبال کرنا چاہئے.,1,neutral,"Our immigration policies, including the implementation of laws, aim to welcome, embrace, and treat fairly the foreign-born communities and their descendants in America.","Our country should showcase its global image and here, too, be open to new cultures and traditions.",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Our immigration policies, including the implementation of laws, aim to welcome, embrace, and treat fairly the foreign-born communities and their descendants in America. 

Translated English Hypothesis: Our country should showcase its global image and here, too, be open to new cultures and traditions. 

English NLI Label: Contradiction",4.57747483253479,
آر پی ایچ کتاب کی اشاعت کے بعد ایک کتابی دورہ ہوگا، جو کہ کتاب کے بارے میں اگلا انکشاف کرے گا.,ار پی ایچ کتاب کے ساتھ ایک دورہ وابستہ ہو گا.,0,entailment,"After the release of the 'RPI book', another book will be released, which will be the first discovery about the book.",There will be a companion book along with the 'RPI book'.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: After the release of the 'RPI book', another book will be released, which will be the first discovery about the book.

Translated English Hypothesis: There will be a companion book along with the 'RPI book'.

English NLI Label: Contradiction",3.398113250732422,
چیئر لفٹ ایک پسندیدہ پسندیدہ ہے.,کوئی شخص چیئر لفٹ نہیں پسند کرتا ہے.,2,contradiction,"""Cheerful is a liked thing.""","""No person does not like cheerful.""",entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: ""Cheerful is a liked thing.""

Translated English Hypothesis: ""No person does not like cheerful.""

English NLI Label: Entailment.",2.118328332901001,
11 ستمبر کو نکالنے کے لئے امداد کے لئے، ملاحظہ کریں، مثال کے طور پر، شہری انٹرویو 14 (اپریل,11 ستمبر کو نکالنے کے حوالے سے کوئی امداد دستیاب نہیں ہیں.,2,contradiction,"Note that, for example, there was no aid available when it came to remembering September 11th, regarding the city of Intriew 14 (April).",There was no aid available when it came to remembering September 11th.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Note that, for example, there was no aid available when it came to remembering September 11th, regarding the city of Intriew 14 (April).

Translated English Hypothesis: There was no aid available when it came to remembering September 11th.

English NLI Label: Contradiction",4.081184148788452,
ٹینیسی کی خبر رساں نے گرم، خشک موسم کے لئے کتا موسم کے الفاظ استعمال کئے جو اگست کے خشک موسم کی طرف اشارہ کرنے والی اصطلاح کتے دن سے اخذ کئے جا سکتے ہیں۔,تینعسی مین بہی جون اور جولاءی مین شدید گرمی ہوتی ہے,1,neutral,"The weather news reports have used the phrase ""hot and dry season"" which indicates the approach of the hot and dry summer season from August onwards.","In Texas, as well as in July and August, there is severe heat.",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The weather news reports have used the phrase ""hot and dry season"" which indicates the approach of the hot and dry summer season from August onwards.

Translated English Hypothesis: In Texas, as well as in July and August, there is severe heat.

English NLI Label: Contradiction",4.025115728378296,
میں نے اسے مار ڈالا، یہ سچ ہے.,آدمی کی زندگی بچ گئی تھی,2,contradiction,I killed him; it is true.,The man's life was saved.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I killed him; it is true.

Translated English Hypothesis: The man's life was saved.

English NLI Label: Contradiction.",2.272064208984375,
لیکن میں آپ کو زمین کی جلدی میں جلدی میں تھا.,فرد ایک محبت کرنے والا چاہتا تھا,1,neutral,But I was sitting next to you on the bench.,He wanted to express his love.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: But I was sitting next to you on the bench.

Translated English Hypothesis: He wanted to express his love.

English NLI Label: Contradiction",2.252032995223999,
اگر آپ اس پر محسوس کر رہے ہیں تو، مٹی ٹریل کے ساتھ دھکا،نیدرا گر کے پاس، ایمیلڈ پول کے ماضی میں، اور آپ بھیڑوں کو کھونے کے لئے شروع کر دیں گے.,نوادا کی آبشار کا پیدل راستہ تھوڑے لوگوں کی موجودگی کے باعث زبردست جگہ ہے۔,1,neutral,"If you can feel it, then go to the back of Mattril with Nedra Grr, in the past of email money, and also start cooking for Bivoo.",The waterfall of Nova is a great place because of the presence of many people who like to take breaks.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: If you can feel it, then go to the back of Mattril with Nedra Grr, in the past of email money, and also start cooking for Bivoo. 

Translated English Hypothesis: The waterfall of Nova is a great place because of the presence of many people who like to take breaks. 

English NLI Label: Contradiction",4.581331729888916,
میں نے اس کو اس خط میں ایک خط لکھا تھا کہ اسے اس کا سامنا کرنا پڑا،اور انہوں نے مجھے ایک چھوٹے سے پھل کیک بھیج دیا جو کرسمس.,ډاکتر ماته په هغه کریسمس کي شراب  .واستول,2,contradiction,"I had written to him in this letter that I would meet him, and he sent me a Christmas card.",Doctor Mathe Phug Krishna's Christmas drink.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: I had written to him in this letter that I would meet him, and he sent me a Christmas card.

Translated English Hypothesis: Doctor Mathe Phug Krishna's Christmas drink.

English NLI Label: Contradiction",2.9736857414245605,
یہ سوچ کے چیک بک صرف ایک خالی چک ہے، آپ سمجھ سکتے ہیں، اور اس میں لامحدود رقم ہے، یہ نہیں کہ وہ جاتی ہے اور لامحدود طریقے سے خرچ کرتی ہے لیکن لگ بگھ ایسا رویہ ہے,وہ محسوس کرتے ہیں کہ وہ ایک رات سے زیادہ سے زیادہ 1000 ڈالر خرچ کر سکتے ہیں.,1,neutral,"This is just a blank checkbook with unlimited numbers, you can understand that, and it doesn't matter that it comes from where and spends in unlimited ways but it has such a face.",You can spend more than $1000 in a night.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: This is just a blank checkbook with unlimited numbers, you can understand that, and it doesn't matter that it comes from where and spends in unlimited ways but it has such a face.

Translated English Hypothesis: You can spend more than $1000 in a night.

English NLI Label: Contradiction.",4.562700986862183,
میرا ہیرو اگرچہ اورسیز انویسٹمنٹ ٹرسٹ کا چیئرمین رچرڈ ہیسلٹین ہے جس نے حالیہ ماہ میں اپنے اعلی افسران کی طرف سے زبردستی لاگو کیے جانے والے کاروباری منصوبے کے خلاف احتجاجن استیفا دیا تھا۔,ہیسیلتاہں نے اپنی نوکری چھوڑدی,0,entailment,"My hero, despite being the chief researcher at the Institute of Technology, has protested against the appointment of his superior officers during the month of Ramzan.",He left his job.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: My hero, despite being the chief researcher at the Institute of Technology, has protested against the appointment of his superior officers during the month of Ramzan.

Translated English Hypothesis: He left his job.

English NLI Label: Contradiction",3.370818614959717,
ذرائع نے دعوی کیا کہ بن لادن نے پوچھا اور بم سازی کے ماہر سے مدد حاصل کی، جو وہاں وہاں ستمبر 1996 تک تربیت دے رہا تھا، جب یہ معلومات ریاستہائے متحدہ تک پہنچ گئی تھی.,ذریعہ اسامہ بن لادن کے بارے میں کچھ نہیں جانتا تھا۔,2,contradiction,The al-Qaeda organization filed a lawsuit claiming that Osama bin Laden had sought and received assistance from a master of bomb-making during the period from September 1996 to when this information reached the United States.,Nothing was known about the name of Osama bin Laden.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The al-Qaeda organization filed a lawsuit claiming that Osama bin Laden had sought and received assistance from a master of bomb-making during the period from September 1996 to when this information reached the United States.

Translated English Hypothesis: Nothing was known about the name of Osama bin Laden.

English NLI Label: Contradiction.",4.5525476932525635,
نیوی سکوسکیا سے تنگ تنگ Chignecto قونس، سے منسلک نیو برونزک 14،000 وفادار پناہ گزینوں کی درخواست پر 1784 میں ایک علیحدہ صوبہ بن گیا,نیو برنسوک 1784 میں ایک صوبہ نہیں تھا۔,2,contradiction,"The newly established Chignecto County, with a population of 14,000 loyal New Brunswickers, received 1,784 requests for land grants in 1784, which led to the creation of a single, limited-size district.",New Brunswick was not a district in 1784.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The newly established Chignecto County, with a population of 14,000 loyal New Brunswickers, received 1,784 requests for land grants in 1784, which led to the creation of a single, limited-size district.

Translated English Hypothesis: New Brunswick was not a district in 1784.

English NLI Label: Contradiction.",5.531391382217407,
انہوں نے زور دیا کہ مسلسل اہداف کو یقینی بنانے کے لئے ضروری تھا کہ کنٹرول موجودہ خطرات سے نمٹنے کے لئے اور غیر ضروری طور پر معاوضے کی کارروائیوں سے نمٹنے کے لئے ہر وقت تیار رہیں. اور وہ افراد جنہوں نے معلومات کے نظام کا استعمال کیا اور برقرار رکھنے کے تنظیمی پالیسیوں کے ساتھ عمل کیا۔,دوی وویل چې مهمه وه چي محتاط وو کله چي دا  د خبرونو   کنترولولو فا  .بریکي ته راغلو,1,neutral,They had to take the risk of making the series of goals certain by not getting involved in the dangers that were present and by not getting involved in unnecessary matters at all times. And those who used the information system and established organizational policies to act accordingly.,"Two will be very careful about what they say. The news is that control is necessary. Break free, but remain calm.",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: They had to take the risk of making the series of goals certain by not getting involved in the dangers that were present and by not getting involved in unnecessary matters at all times. And those who used the information system and established organizational policies to act accordingly.

Translated English Hypothesis: Two will be very careful about what they say. The news is that control is necessary. Break free, but remain calm. 

English NLI Label: Contradiction",5.131106853485107,
اگر میں کچھ کر سکتی تھی۔,میں جانتا تھا کہ میرے کرنے کیلۓ کچھ نہیں تھا۔,2,contradiction,"If I could do something, I would.",I knew that there was nothing I could do about it.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: If I could do something, I would.

Translated English Hypothesis: I knew that there was nothing I could do about it.

English NLI Label: Contradiction.",2.491114616394043,
بہت سے انسانی رابطے کو سیریز میں لے جانے کے لئے مائیکل آڈٹ کو ملازمت سے زیادہ بنا دیا گیا ہے.,مائیکل ایڈ نے سیریز میں ذاتی معیار کو شامل کرنے کے لئے ملازمت کی تھی.,0,entailment,Many human relationships have been brought together by Michael Adte to be included in the series.,Michael Adte relied on necessity to include the inherent standard in the series.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Many human relationships have been brought together by Michael Adte to be included in the series. 

Translated English Hypothesis: Michael Adte relied on necessity to include the inherent standard in the series. 

English NLI Label: Contradiction.",3.1006596088409424,
یہ ہسپانوی چھاپے کے رات پر برجٹاؤن میں تھا .آپ مہم کے لئے $ 100 یا اس سے زیادہ آپ کے شراکت کے لئے تعریف کرتے ہیں، آپ اور مہمان کو جمعرات کو 23.2 مارچ کو 5: 30- 8:00 بجے سے جمعرات کو خصوصی استقبال میں شرکت کے لئے مدعو کیا جاتا ہے. ہیروئن ہال,آپ اور ایک مہمان کو ایک خصوصی استقبالیہ میں شرکت کے لیے مدعو کیا جائے گا اگر آپ 100 ڈالر یا زیادہ مہم کے لیے عطیہ دیتے ہیں۔,0,entailment,"It was a hotel staff member who reported the incident. You are responsible for the guest for whom you charge $100 or more for their stay, and you will be invited to attend the private reception on March 23 from 5:30 to 8:00 p.m. along with the guest. Both of you will be invited.",You and a guest will be invited to a private reception if you offer a gift of $100 or more to the guest.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: It was a hotel staff member who reported the incident. You are responsible for the guest for whom you charge $100 or more for their stay, and you will be invited to attend the private reception on March 23 from 5:30 to 8:00 p.m. along with the guest. Both of you will be invited.

Translated English Hypothesis: You and a guest will be invited to a private reception if you offer a gift of $100 or more to the guest.

English NLI Label: Entailment",7.898454427719116,
آپ ان کی کہانیاں اور ایمسٹرڈیم کے حرفوں کے ساتھ ساتھ تصاویر اور فنکاروں کے ساتھ ساتھ ویڈیوز دیکھیں گے.,تم فوٹو گراف نہیں دیکھو گے,2,contradiction,You will not see the footage.,You won't see the photos and videos.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: You will not see the footage.

Translated English Hypothesis: You won't see the photos and videos.

English NLI Label: Contradiction",2.2741100788116455,
اس کے علاوہ، انڈیانا کے رہائشیوں کو انڈیانا ٹیکس کریڈٹ کے ذریعہ ٹیکس فوائد مل سکتی ہے جو براہ راست ریاست ٹیکس کی واپسی کی نچلے لائن کے خلاف لاگو کیا جاتا ہے.,انڈیانا کے باشندے 50٪ ٹیکس کریڈٹ حاصل کرتے ہیں تو وہ تھیٹر کو عطیہ دیتے ہیں.,1,neutral,"In addition, residents of India can benefit from the Tax Credit through the Tax Equity Act, which provides tax credits for investments in clean energy projects, including solar and wind power.","If someone in India makes more than $50,000 in income from self-employment, they will receive a tax credit for their investment in solar panels.",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: In addition, residents of India can benefit from the Tax Credit through the Tax Equity Act, which provides tax credits for investments in clean energy projects, including solar and wind power.

Translated English Hypothesis: If someone in India makes more than $50,000 in income from self-employment, they will receive a tax credit for their investment in solar panels.

English NLI Label: Contradiction",5.024552345275879,
لیونہاد کے میئر، جس شہر جوزف کوربل بڑھ گیا، کہتے ہیں کہ انہوں نے حالیہ برسوں میں البرائٹ کو تین خطوط بھیجا.,Korbel led Letohrad.,0,entailment,"In the city of Joseph Korbel, it is said that he built the bridge over the river Braslav with three lines.",Korbel led Letohrad.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: In the city of Joseph Korbel, it is said that he built the bridge over the river Braslav with three lines.

Translated English Hypothesis: Korbel led Letohrad.

English NLI Label: Contradiction",2.707901954650879,
بحالی کے ساتھ ایک معیشت میں، کیا ہوتا ہے، اگر ہم تجارت کے اپنے فوائد لے سکتے ہیں اور کسی حد تک سرمایہ کاری کر سکتے ہیں تو ہم اس سے زیادہ راستے پیدا کرسکتے ہیں,ہم ہمارے ارد گرد کسی کے ساتھ تجارت نہیں کر سکتے ہیں.,2,contradiction,"In life, if we can benefit from trade and work up to a certain limit, we will find more truth than falsehood.",We cannot trade with everyone around us.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: In life, if we can benefit from trade and work up to a certain limit, we will find more truth than falsehood.

Translated English Hypothesis: We cannot trade with everyone around us.

English NLI Label: Contradiction",3.0170533657073975,
ہم اچھے وکلاء کی تعلیم کو مضبوط بنانے کے لئے جاری رہ سکتے ہیں,ہم وکلاء کو تعلیم دے سکتے ہیں، مجھے یقین ہے کہ!,0,entailment,We can certainly ensure that our legal education remains accurate.,We can teach lawyers; I am sure of it!,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: We can certainly ensure that our legal education remains accurate.

Translated English Hypothesis: We can teach lawyers; I am sure of it!

English NLI Label: Contradiction",2.5540952682495117,
پاکستان میں حتمی وصول کنندہ پھر پاکستان کے حلفارڈر جائیں گے اور اس کے پیسہ وصول کریں گے، جو کچھ بھی رقم سے پاکستان کے حلفارڈر کے پاس ہے,حتمی وصول کنندہ کو رقم کی وصلولی کے لیے ترکی جانا ہو گا۔,2,contradiction,Pakistan will definitely arrive in Pakistan's Hafizarah and will come to the place where there is a certain number of figures from Pakistan's Hafizarah.,The definite arrival will be known through the figure.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: Pakistan will definitely arrive in Pakistan's Hafizarah and will come to the place where there is a certain number of figures from Pakistan's Hafizarah.

Translated English Hypothesis: The definite arrival will be known through the figure.

English NLI Label: Contradiction.",3.6699399948120117,
تشویش کا اصل سبب یہ ہے کہ ایچ ایم او طویل عرصے میں اخراجات کو کنٹرول کرنے میں ناکام ہوسکتا ہے.,ہرشخص اس بات کی قدر کرتاہے کہ کچھ عرصہ میں ایچ ایم اوز اخراجات پر کنٹرول کرسکیں گے۔,2,contradiction,"The primary cause of anxiety is that in a wide range of situations, controlling expenditures can be difficult.","Everyone believes that in some situations, controlling expenses will be possible.",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: The primary cause of anxiety is that in a wide range of situations, controlling expenditures can be difficult.

Translated English Hypothesis: Everyone believes that in some situations, controlling expenses will be possible.

English NLI Label: Contradiction",3.4915552139282227,
اور یہ ابھی بھی مجھے ڈرا رہا تھا۔,میں تھوڑا سا ڈر رہا تھا.,1,neutral,And she still remains in my heart.,I was also left in the heart.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: And she still remains in my heart.

Translated English Hypothesis: I was also left in the heart.

English NLI Label: Contradiction",2.1163361072540283,
اوہ اوہ زبردست میں کہتا ہوں یہ تومہم جو معلوم ہورہا ہے,یہ تو بہت بھیانک تجربہ لگ رہاہے۔,2,contradiction,He says that it is a very rich experience.,This is a very rich experience indeed.,entailment,N/A_SP_EN_eval,entailment,"Translated English Premise: He says that it is a very rich experience.

Translated English Hypothesis: This is a very rich experience indeed.

English NLI Label: Entailment",2.0311810970306396,
اس خطرے کی تشخیص کے مطابق، سنٹرلنک نے مخصوص روک تھام کی حکمت عملی کی ایک حد تیار کی ہے جس کا مقصد جانشینوں اور آجروں کو آمدنی کی رپورٹنگ کی ضروریات پر تعلیم دینا ہے.,Centralink k pass buht si hikmat e amalian han k kaisay logon ko apni amadni report krney k barey mein sikhaya jae kiun k hakomat uski wajah se buht sa paisa kho rahi thy.,1,neutral,"According to the diagnosis of this threat, Centlink has developed an experimental kit that aims to educate people on the necessity of reporting their deaths in order to save costs.","Centlink's vast expertise led it to develop such a kit, but it also resulted in a significant loss of money due to people reporting their own deaths.",contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: According to the diagnosis of this threat, Centlink has developed an experimental kit that aims to educate people on the necessity of reporting their deaths in order to save costs.

Translated English Hypothesis: Centlink's vast expertise led it to develop such a kit, but it also resulted in a significant loss of money due to people reporting their own deaths.

English NLI Label: Contradiction",4.659339189529419,
انسانی دیکھ بھال کے ساتھ ساتھ جنگل میں بھی ہاتھیوں کی طویل بقا کے لیے یہ انتہائی اہم ہے۔,یہان ایسا کچھ بھی نہیں جسن سے ہاتھیوں کی مدد کی  جا سکتی ہو,2,contradiction,We are unique in that we also have long-term survival dependence on our hands in addition to the forest.,It cannot be like this that our hands do not help in any way.,contradiction,N/A_SP_EN_eval,contradiction,"Translated English Premise: We are unique in that we also have long-term survival dependence on our hands in addition to the forest.

Translated English Hypothesis: It cannot be like this that our hands do not help in any way.

English NLI Label: Contradiction.",3.537416696548462,
